	description	location	salary	title
781	Job SummaryWe are seeking to fill an extremely varied and fun role for an experienced Administrator or Personal/Team Assistant who knows what it takes to be an extension of the management team.Key attributes:You will be well presented and have the confidence to deal with a variety of stakeholders, whilst managing multiple tasks in a dynamic and fun environment.You will have outstanding communication skills and a positive attitude who is adaptableYou will have an outstanding ability to show initiative and prioritize work accordinglyKey Responsibilities:You will be the glue for the global team (~30 people) enabling us to work easily together and help to inspire each other towards achieving HIVERY’s goals to help companies leverage AIWork closely with the CEO and Leadership teamYou will create and edit board presentations, communications material and support on special projects as needed, and ensure the CEO and/or team is briefed/ updatedYou will provide general administrative support for the team, including but not limited to:*Organizing travel for a number of staffCoordinating team members and meetingsPreparing expense claims as requiredArchiving and filingOrdering office supplies as requiredYou will help drive cultural and fun team events including monthly Buzz (Townhall), birthdays, and more!Required Experience, Skills and QualificationsMinimum Requirements:Advanced Microsoft Office skills are crucial to be considered for this role (Gmail, Google Docs - Slides/PowerPoint, and Sheets/Excel)2+ years experience supporting senior management in an administrative roleStrong interpersonal skillsExcellent time management and prioritization skillsAbility to multitask/manage multiple projectsIndependent problem solverHighly regardedBachelor DegreeCompany ProfileWorking in cool space in Surry Hills, HIVERY is a fast-growing global artificial intelligence company headquartered in Sydney. Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome.Job Type: Full-timeSalary: $60,000.00 to $85,000.00 /yearExperience:Administration Management: 2 years (Preferred)	 - Sydney NSW	Team Assistant with AI companyHIVERY - Sydney NSW$60,000 - $85,000 a year	Team Assistant with AI company
782	"The Company

Are you fascinated by the strategy behind analysis, digging into big data, and working alongside business leaders on complex, multi-source data to explore, generate and test business assumptions? If that sounds like you, our client is offering an exciting opportunity for your skills as a BI Analyst. If you are an exceptional professional who is passionate about strategy, analysis, presenting ideas to partners and team members and being responsible for driving business process models, this could be the role for you.

The Role

You'll be part of a talented team responsible for accelerating and improving decision-making, increasing operational efficiency and gaining competitive advantages. Harness your technical skills for advanced analytics, statistical analysis and statistical processing. You will engage with business users, manage ETL processes, and utilise established data warehousing practices and data visualizations. This diverse role will also see you drive extracting requirements, creating dashboard and reports and working with sets of data from several sources.

Your Skills & Experience

5+ Years experience as a Business Intelligence Analyst or similar capacity

5+ Years experience working with data visualization tools such as PowerBI, Tableau etc…

5+ Years experience working with ETL; SSIS, Informatica, Talend etc…

You must have an excellent understanding working with SQL and creating reports with SSRS

Outstanding experience working with large data volumes.

SSAS experience is benefical

Brilliant experience in descriptive and predictive analytics.

Familiarity with data transformation (ETL), relational databases, and SQL.

Ability to read and write basic SQL queries.

About you

You thrive in a fast-paced work environment, and are easily able to handle a number of large projects while also managing smaller, filler projects at the same time while meeting strict deadlines. You have exceptional problem solving ability with the natural creative flair to provide innovative solutions. You have outstanding interpersonal skills to motivate and mentor your team.

What's on offer?

An exceptional opportunity to be part of a growth-focused company that champions innovation and excellence.

A rare chance to build on your current skill set and play an active role leading a variety of projects.

A fast-paced, high energy workplace where your talent will make a real contribution to business growth.

The camaraderie of an impressive team in an environment where work-life balance is actively supported.

Robert Half Ltd is committed to equal opportunity and we value diversity at our company. We do not discriminate on the basis of categories protected under local law."	 - Sydney NSW	Business Intelligence AnalystRobert Half Australia6,884 reviews - Sydney NSW$100,000 a year - Permanent	Business Intelligence Analyst
783	"Senior Business Intelligence Consultant (Architect, Developer - Greenfield Project). Own everything BI related.

The Company
A market leader within their field, the client has realized how important data is to an organization and is investing heavily on their BI and Data Capabilities. The company who operate globally are looking to increase their local presence.
The Role
Working on a greenfield project, you will own the whole of the BI and Data capabilities. You drive the BI functionality, designing the architecture, developing the solutions and working with the business to gather requirements, you will be in charge of developing the road map and implementing the whole BI solution. Choosing a solution provider and designing the warehouse and becoming a visualization guru.
You'll become an integral part of the talented team responsible for accelerating and improving decision-making, increasing operational efficiency and gaining competitive advantages. Harness your technical skills for advanced analytics, such as data mining, predictive analytics, statistical analysis and big data to allow the business to focus on forecasting future events and behaviors. You will collaborate with business users, manage ETL processes, and establish data warehousing practices and data visualizations. This diverse role will also see you drive a move towards the latest BI technologies.
Your Skills & Experience
7+ Years' experience across Business Intelligence
SSIS,SSRS,SSAS and Tableau experience
Previous experience across being the GO to BI expert
Perform data warehouse development
Outstanding experience working with large data volumes.
Brilliant experience in descriptive and predictive analytics.
Ability to perform data mining and analytics to extract business insights
Experience with data visualization software.
Familiarity with data transformation (ETL), relational databases, and SQL.
Ability to read and write basic SQL queries.
About you
You thrive in a fast-paced work environment, and are easily able to handle a number of large projects while also managing smaller, filler projects at the same time while meeting strict deadlines. You have exceptional problem solving ability with the natural creative flair to provide innovative solutions. You have outstanding interpersonal skills to motivate and mentor your team.
What's on offer?
An exceptional opportunity to be part of a growth-focused company that champions innovation and excellence.
A rare chance to build on your current skill set and play an active role leading a variety of projects.
A fast-paced, high energy workplace where your talent will make a real contribution to business growth.
The camaraderie of an impressive team in an environment where work-life balance is actively supported.
Robert Half Ltd is committed to equal opportunity and we value diversity at our company. We do not discriminate on the basis of categories protected under local law."	 - Sydney NSW	Senior Business Intelligence ConsultantRobert Half Australia6,884 reviews - Sydney NSW$155,000 a year - Permanent	Senior Business Intelligence Consultant
784	"Prospa, Australia's #1 online lender to small businesses.

We are a visionary FinTech leader that changes the lives of under-serviced small business owners in Australia. We build innovative and easy to use financial products that help small businesses achieve their dreams, by providing fast and easy funding pathways around their business challenges.

We are proud to say that on our journey so far we have helped over 15,000 small business customers across Australia, injecting over three quarters of a billion dollars into the Australian economy, and counting.

Prospa is extremely passionate about its people. Their diversity, skills, and passion are the foundation of what we deliver to our customers. Our people, in turn, are driven by our values.

Obsess About Customers - We don’t just listen, we hear what’s important.

5* Trustpilot Customer Rating (9.8/10)

Be Bold, Open and Real - Have the courage to take smart risks.

Winner - 2017 FinTech Australia ‘Finnie’ Award for ‘Best Leaders’

Day 1 – We’re driven by the start-up mentality.

Winner - 2018 Financial Times High-Growth Companies (Asia Pacific)

Deliver Value Fast – We celebrate outcomes not process.

Winner - 2015 Deloitte Tech Fast 50 (Almost 7000% growth in three years)

Simplicity – The work of a true genius is making the complex simple.

Winner - 2017 Fintech Business Awards ‘Lending Innovator’

One Team – Success comes from embracing different perspectives.

4.6* Glassdoor Staff Happiness Rating & 2018 Aon Best Employer

About you
As Business Intelligence Analyst you will craft visually succinct dashboards that empower business decisions. You will find new insights for Prospa whilst working to also identify and expose information opportunities to a range of shareholders.

Your role

Transforming data into information for consumption and measurement by the business.
Engaging with partners to build business definitions and empowering them to access that information in a simple manner.
Developing dashboards and scenario modelling with Tableau across marketing, operations, sales, finance, credit and executive areas.
Training and developing business stakeholders to access information themselves via Tableau.
Collaborating with the business to improve data quality and create new opportunities for analysis.
Working with the Senior Manager - Analytics to implement technological and cultural change within the organisation.

You pride yourself on

A deep understanding of Data Visualisation principles
Tableau development experience.
Strong SQL query writing or data transformation experience
Your ability to analyse data, communicate findings and generate recommendations and insights.
Background in performance metric design and development.
Understanding of database cubing/reporting principles e.g. Kimball DWH
R programming or similar experience a plus and the successful candidate will have a keen interest in learning new technologies.



Come and join our exciting journey
We embrace diversity in our people and our thinking and provide a collaborative, inclusive, innovative and respectful environment. We celebrate who you are, recognise & reward great achievements, and actively provide our people the same great experience we provide our customers.

We are committed to being an equal opportunities employer and we never discriminate on the basis of race, religion, gender identity or expression, sexual orientation, age, marital or disability status.

With the greatest respect CV's will not be accepted from recruitment agencies."	 - Sydney NSW	Business Intelligence AnalystProspa - Sydney NSW	Business Intelligence Analyst
785	"What’s your ambition? Is it a big goal or small steps? Professional or personal? We’d like to know because we make your ambitions our business.
We’re JLL. We’re a professional services and investment management firm specializing in real estate. We help organizations around the world achieve their ambitions by owning, occupying and investing in real estate.

What this job involves
A fantastic opportunity has arisen for an experienced Business Intelligence Reporting Analyst to join our Finance Team based in the Sydney Head Office. Within this role you will work directly with senior management assisting in the financial reporting process for the business. Day to day to you will assist with complex excel modelling and technical support.
Please note this is a fixed term 12 month contract, commencing end of November.

Your responsibilities will include:
Ensuring the delivery of forecasting and planning reports
Assisting in finding solutions for data and reporting requirements
Development & timely delivery of robust BI reports and dashboards
Other adhoc analysis, including, Data cleansing, Mapping, Tree Hierarchy maintenance, systems-interface support
Sound like you? This is what we’re looking for:
As a problem solver being comfortable with high volumes of data, you’ll possess exceptional excel skills and reporting platform experience, as well have excellent communication skills and a high level of analytical thinking with strong attention to detail.

You’re computer literacy will enable you to learn new skills and translate business requirements into technical solutions. If your prior experience includes analysing source systems, use of Excel, VBA, PowerBI or PowerPivot, you will be a perfect candidate for this role!

What can you expect from us?
You’ll join an inclusive culture, one where the best inspire the best. Where like-minded people work naturally together to achieve great things. Join us to develop your strengths and enjoy a fulfilling career full of varied experiences. Keep those ambitions in sight and imagine where JLL can take you...
Want to Apply
Interested candidates, please apply following the link below-quoting job reference number TS82473BR
JLL is committed to developing and maintaining a diverse workforce. We encourage Aboriginal and Torres Strait Islanders applications and enquiries.
You can also follow us and ask questions on Twitter@JLLAustralia or join our LinkedIn group http://linkd.in/JLLgroup"	 - Sydney NSW	Business Intelligence Reporting AnalystJLL1,874 reviews - Sydney NSW	Business Intelligence Reporting Analyst
786	"Business Intelligence Analyst
 - 00006IXH
An exciting time to join the Freight, Strategy & Planning Division of Transport for NSW where you can be part of the significant government investment into NSW infrastructure
Temporary full-time position, located in Port Botany
A responsive organization that encourages feedback and builds effective partnerships
Great people come from all walks of life and at Transport for NSW we are committed to creating a diverse, inclusive and flexible workforce which reflects the community and the customers we serve.

The opportunity
We have an opportunity for a Business Intelligence Analyst to be a part of our Freight Industry team Transport for NSW. This position plays a key role in setting the strategic direction and guiding an extended network of public and private service delivery agencies to deliver improved transport outcomes; and reports to Associate Director, Rail, CMCC

The Business Intelligence Analyst works with the Cargo Movement Coordination Centre (CMCC). The position plays a key role in cultivating a relationship network within the transportation and logistics industries by gathering, analysing and reporting on data through a number of ways, from mining data through software, looking at Industry data, past and present trends, site visits and networking.
The Business Intelligence Analyst will also develop a picture of how industry is changing and adapting to shifting conditions.

This employee will assist the Project Lead, the Associate Directors of CMCC and the Project Manager of CMCC in their CAPEX projects.

We are looking for an individual who has the capability to collaborate with the other Branch and Divisional managers, and operating entities to contribute to strategic planning and has experience in developing and managing effective relationships and partnerships with diverse organisations.

For more information on this position, view the role description here

About us
Transport for NSW (TfNSW) is the lead agency of the NSW Transport cluster. Our role is to lead the development of a safe, efficient, integrated transport system that keeps people and goods moving, connects communities and shapes the future of our cities, centres and regions.

The Freight, Strategy and Planning division develops strategy, policy and planning for freight, public transport and roads networks, ensuring close alignment to TfNSW priorities.

Benefits
TfNSW Grade 7: $98,955 - $110,830 plus superannuation and leave loading

If you are looking for an environment in which you can contribute to creating a legacy of achievement that will last for generations, and enjoy a flexible and diverse working environment which values collaboration and personal development, then we’d like to meet you.

Our commitment to diversity
TfNSW are committed to building a diverse and inclusive culture across the Transport cluster, planning for and promoting diversity. We welcome and encourage applications from diverse community groups and ages including Aboriginal and Torres Strait Islander, LGBTI, people with disabilities, women and other diversity groups. TfNSW recognises the benefits that such an approach brings for our staff and customers in delivering the future of NSW.

Essential requirements
Substantial experience in design and analysis of complex reporting across multiple platforms in a large and complex shared services organisation.
High level knowledge of and experience in developing design and analysis standards to deliver value added reporting in a cost effective manner.
Superior understanding of sophisticated design and analysis techniques, including data mining and predictive analysis.
Demonstrated experience with data warehousing, data modelling and analytics
How to apply
To apply for this position, please submit a resume and brief covering letter(no longer than two pages) which addresses:
the reason for your interest, and
how your skills and experience suit the role.
For more information on how to apply for a role in the NSW Public Sector please click here or for more information on Transport for NSW please click on link provided.

Should you have enquiries about the role, please contact Jon Leard on 02 8574 3797

If you encounter technical issues please contact I Work for NSW Support Team on 1800 562 679 (Mon-Fri) or support@jobs.nsw.gov.au

Applications close: 11:59pm, Sunday 21st October 2017.
Location Sydney Region-Sydney - East
Work Type Full-time
Number of Positions 1
Total Remuneration Package: Transport Service Grade 7 ($98,955 - $110,830), plus employer's contribution to superannuation and annual leave loading.
Contact Jonathan Leard - 8574 3797
Closing Date 21-Oct-2018
Job Category Analysis
Organisation Freight, Strategy & Planning
Key Application Responses
How to apply
To apply for this position, please submit a resume and brief covering letter(no longer than two pages) which addresses:
the reason for your interest, and
how your skills and experience suit the role."	 - Sydney NSW	Business Intelligence AnalystFreight, Strategy & Planning - Sydney NSW	Business Intelligence Analyst
787	"Want to join one of Australia's largest and most forward-thinking Data, Tech and Analytics agencies?

We are Annalect . We're a part of global marketing company OMG (Omnicom Media Group), and we're looking for a BI Developer to join our team. We use data, analytics and technology to drive digital strategy and achieve outstanding results for our rapidly expanding clients.

This is a great opportunity to work on market-leading brands and develop your career!

Why you'll love us

Through our people philosophy “Because I am, we are”, we believe that happy people with a great work/life balance are able to bring the #WOW factor to work. They're also much more fun to share an office with. Join us and surround yourself with like-minded, high achieving individuals. Together, we can change the way digital works.

We can offer:
Unbeatable career development opportunities and mentoring

Flexible working arrangements centred on work / life balance

State of the art tools – we have a dedicated internal tools team

A social culture with a well-being focus - yoga, nutrition, meditation + more

Why we'll love you

You have a passion for Data, Tech and Analytics and you're ready to make a real impact. As the BI Developer, you will be working on the leading BI platforms predominantly MS Power BI & Tableau (Datorama and Data Studio is a plus) delivering dashboards and reports. In addition to data analysis and insights leveraging powerful cutting-edge technology to deliver successful outcomes for Annalect and Omnicom clients.

Reporting into the Head of Business Intelligence you will be equipped with all the Annalect utilities, training and support required for your role.

Your duties will range from managing data inputs, storage and outputs, reporting and dashboarding, insights generation, automation and client servicing.

The ideal candidate would need to have an array of technical skills coupled with a strong ability to think critically/creatively, learn on the job, and act quickly to solve problems. You would be expected to use resources available to you in an efficient and innovative way.

You will continuously seek and explore innovative ways to improve internal processes, client services and client delivery. You will be the expert of your focus area and will drive the growth of this area within Annalect's offering.

Here's what you'll need:
5+ years of deep BI tools experience with demonstrated success in client business KPIs

3+ years of experience in media, marketing, advertising and/or database experience (media/ marketing research, media planning, account planning, and/or database development, data processing/ management)

Strong experience with business intelligence or advanced visualization tools such as Microsoft PowerBI and Tableau

Strong computer skills with proficiency in Excel (including experience with pivot tables, macros, lookups), Word, PowerPoint and Microsoft Access, SQL Server (database management)

Experience working with cloud environments like AWS and Google Cloud is a plus

Advanced Power Query and M Query skills with the ability to write, edit, and run codes, connect to data sources, and transform data.

Experience querying, cleaning, joining, and working with large disparate databases to develop a single source of truth

Data warehousing and data management experience

Strong attention to detail without losing sight of the bigger picture

Why our love will last

Not just anyone can fill this role. We want someone who can take it and make it their own. To do this, we want to see you:

Lead the design and rollout of a variety of BI/Analytics and AI dashboard solutions using Power BI & Tableau and AWS/Azure stack.

Develop automated dashboard to deliver reports on a daily, weekly, monthly, quarterly, annual, and ad hoc basis using various syndicated data sources and reporting tools, including proprietary tools.

Meet with stakeholders/clients to understand key data challenges

Maintain the existing reporting framework and add value in terms of generating new data analysis and insights.

Engineer best-in-class solutions to deliver maximum value to clients

Work with the BI Architect and Head of BI to develop, collect, manage and store data sources for clients and Annalect

Maximise visibility of data outputs through efficient reporting and visualisation

Generate actionable insights on a daily basis to drive measurable ROI from data

Does this siund like a you? Bring your passion and drive to a company who want you to thrive. Get in touch with us today. We can't wait to meet you."	 - Sydney NSW	Business Intelligence DeveloperOmnicom Media Group170 reviews - Sydney NSWFull-time, Permanent	Business Intelligence Developer
788	"Job Description
Looking for an exciting and challenging career?
Seeking to enhance your technical skills and become part of a professional team?
Wanting to develop client-facing skills?

Excited to join a High Tech giant that has been in business for over 100 years, and yet still manages to be on the leading edge.

Want to work with and be mentored by true experts who have been in the game since “Business Intelligence” was invented? Want to become an expert yourself?

Join our fast-paced, diverse and cutting-edge team, IBM Business Analytics Customer Success and Support.
We help organizations of all sizes make sense of information in the context of their business. The Support team is a highly collaborative team where hard work and achievement is both recognized and rewarded.

We are seeking a Graduate for a Technical Support Analyst who is looking for a stimulating and challenging career at IBM. The analyst is responsible for remote technical support of IBM’s Cloud software and solutions for the Business Analytics business unit across a broad spectrum of IBM Cognos products.

Many of our analysts move onto successful careers in Development, Product Management, or Consulting, others choose to stay within Support organisation in consulting, teaching or management roles.

We contribute to the Support department organizational objectives: technical excellence and high customer satisfaction metrics, through a combination of the following behaviours and skills:

Provide technical assistance to customers using existing knowledge base, through problem determination / trouble shooting and root cause analysis skills.
Prioritise and understand issues – negotiates with clients as to relative priority.
Communicates action plans to the customer, and as necessary and appropriate to other internal IBM personnel (Cognos Operations, Management, Development, et al).


Additionally, the analyst may also:
Recommend and/or implement new solutions or improvements to existing technical support tools, procedures and processes.
Provide training for and mentor others on the team.
Contribute to early beta testing of new BA (Cognos) releases.
Create or enhance knowledge assets for the BA Knowledge Base (how to guides, technical notes or similar).

We are seeking top talent individuals with these key characteristics:
Proven collaboration and problem solving skills
Analytical thinking and troubleshooting
Knowledge of operating systems (Windows, Linux, and UNIX platforms ideally)
Familiarity with relational databases (e.g., DB2, Oracle, MS SQL Server)
Familiarity with web deployment, CGI applications and servlets

This role will involve working with technology that is covered by embargo Export Regulations. If you are a Foreign National from any of the following embargoed countries (Cuba, Iran, North Korea, Sudan, Syria) on a work permit, you are not eligible for employment in this position.

Required Professional and Technical Expertise
At least 6 months experience in Databases e.g., DB2, MS SQL, Oracle
At least 6 months experience in web deployment, CGI applications and servlets
Excel expertise
Strong analytical and problem solving skill set
Ability to work well under pressure
Excellent communication and customer service skills
English: Fluent

Preferred Professional and Technical Expertise
Experience with JavaScript, or XML programming and an understanding of Application Server Technology (especially WebSphere, WebLogic or Apache Tomcat).
Knowledge or exposure to any other working with a multi-dimensional financial modeling tool such as IBM Cognos Planning, TM1, Hyperion or Anaplan
Knowledge or exposure to accounting, finance or business administration concepts
Exposure of experience with Virtualisation Technologies eg VMware/Xen etc
Experience in a customer facing role

Required Education - Associate's Degree/College Diploma

Preferred Education – Degree in Finance, Accounting or MIS or equivalent

To be eligible to apply:
Intern applicants must meet the following requirements:
Have Australian citizenship or Australian Permanent ResidencyHave New Zealand citizenship or New Zealand Permanent ResidencyHave at least a credit average from respective universitiesYou will be enrolled in a tertiary degree at University in Australia/ New Zealand – Throughout the internship programCandidates must be from Australian or New Zealand UniversitiesHave no more than 2 years relevant work experience
Additional Important Information:
Candidates are advised to populate their preferred email ID for the hiring process communication purposeCandidates are advised to provide a complete Cv which outlines the required requirements(Example: Citizenship/PR status, Current/Latest Weighted Average Mark or Grade Point Average score/ Education Background/Work experiences)All applicants are required to check their email ID (1) business day after applying online to undergo an IPAT test. (MANDATORY TEST) Instructions for the test will be outlined in the email.
We believe true innovation is driven by diversity, so in order to uphold our reputation as an industry-leading enterprise, we rely on people from different backgrounds, different perspectives and different attitudes. So come on board and join us as we enter a new era for our industry – and our planet.

For more information about IBM's internship program:
http://www-07.ibm.com/employment/au/internships/aboutibm/index.html

Have a question you'd like to ask?
Follow us on Facebook at www.facebook.com/ibmcareersanz

To apply:
Upload your CV, cover letter, academic transcript and your Right to Work document (AU/NZ passport, citizenship/birth certificate and photo identification).

Required Technical and Professional Expertise

As above

Preferred Tech and Prof Experience

As above

EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."	 - West Pennant Hills NSW	2018 IBM Business Analytics Graduate - SydneyIBM23,337 reviews - West Pennant Hills NSW	2018 IBM Business Analytics Graduate - Sydney
789	"APS Level 5 (Policy & Technical) - $72,743 - $78,421
Canberra, Sydney, Melbourne, Brisbane or Perth
Contact Officer: David Bermingham (02) 6272 3188
The Compliance Division manages biosecurity and imported food risks by establishing and undertaking effective compliance approaches in line with the department's Biosecurity Compliance Statement and regulatory responsibilities across the department's portfolio. Compliance Division also undertakes enforcement functions for the department across all its regulatory jurisdictions.

The Compliance Testing and Intervention Branch delivers documentary assessment policy, data analysis and reporting, regulatory intelligence, profile management and coordination, the Illegal Logging compliance program and targeting functions to support risk based management for imports and passengers. The branch also leads the department's participation in the multi-agency Border Intelligence Fusion Centre, and develops compliance policy and standards across all of the department's regulatory jurisdictions.

The Intelligence and Testing Unit (ITU) within Compliance Analysis and Testing (CAT) Section is a client focused area which produces a range of products including:

Operational intelligence reportsTactical Intelligence reportsVulnerability Assessments.
These products provide recommendations and key judgements to support decision making needs for operational and tactical intelligence customers as well advice on risks associated with departmental policies and operations. ITU utilises methodologies such as the intelligence cycle in conjunction with a wide range of information sources when compiling biosecurity threat assessments. Threat and vulnerability assessments allow the department to minimise or pre-empt the occurrence of biosecurity incidents rather than reactively responding to unfolding events as they occur. ITU serves a broad range of clients across the department to assist them to achieve their objectives and to allocate their resources effectively.

The Job
An Intelligence Analyst reports to a senior intelligence analyst and under their guidance, uses a range of datasets to compile information ready for structured analysis prior to arriving at judgements in support of threat and vulnerability assessments. Key tasks include:

liaison with intelligence customerscontributing to the development of intelligence collection planscollation of data from a range of datasets and sourcessocial media data collectioncollation and mapping of data using a range of software toolsunder guidance, analysing data using structured analytical techniques to make judgementscontributing to threat and vulnerability assessmentsunder guidance, disseminating threat and vulnerability assessments using written and oral briefing techniques.

Please note that a Merit Pool may be established from this recruitment process which may be used to fill other similar vacancies in the Branch that arise over the next twelve months.

Work location
Please note that this vacancy is currently located in Canberra however the role may also be able to be performed at our Regional Offices in Sydney, Melbourne, Brisbane or Perth.

Knowledge and experience
Knowledge of the departments’ requirements, processes and policies, or the ability to quickly acquire such knowledge, is desirable. Experience within the National Intelligence Community is also desirable but not essential.

Skills and capabilities
Research and analytical skills are essential. Intelligence analysis skills are desirable but not essential as training will be made available to a suitable candidate.

Desirable qualifications
Academic or vocational qualifications in science, intelligence or forensics, preferably with a research background, are desirable.

Eligibility/Other requirements
This position requires a Negative Vetting Level 1 security clearance. The successful applicant will be required to obtain and maintain a clearance at this level. To be eligible for employment with the Department of Agriculture and Water Resources, an applicant must be an Australian citizen. An applicant's suitability for employment with the department will be assessed through a pre-employment screening process. This process includes a requirement for the applicant to undergo and satisfy a National Police Check, referee checks, character clearance and where relevant a pre-employment medical assessment, specified mandatory qualification(s) validation and a probation period of 6 months. Any applicant that, in the course of their work, requires unescorted access within an aviation or maritime security zone will be required to obtain and maintain an Aviation Security Identification Card (ASIC) or Maritime Security Identification Card (MSIC).

The successful applicant must:

hold and maintain a valid Australian motor vehicle drivers licencemeet Department of Agriculture and Water Resources health and security requirementswear appropriate protective personal equipment and clothing to comply with departmental Work Health & Safety policies and procedures.
Duty Statement Opens in new window"	 - Sydney NSW	Intelligence AnalystDepartment of Agriculture & Water Resources - Sydney NSW$72,743 - $78,421 a year	Intelligence Analyst
790	"Opportunity to work on high profile projects Global organisation based in Sydney CBD Great career growth and company culture A great career path for an experienced BI Developer to step up and work on exciting projects. A leading global organisation has opened up an opportunity for a BI Developer work on and deliver complex solutions for its client. Work with a technology-focused provider and a global market leader delivering exciting projects across different industry. Key responsibilities: Be a Power BI expert to the team Delivering end-to-end BI projects across all BI platforms, developing BI toolsets Carrying out business requirement analysis and providing actionable insights and outcomes Providing business intelligence support to functional teams - both internal and external clients Overseeing the entire BI development cycle - creating reports & dashboards, requirements gathering, testing, deployment/project delivery Key Skills: Advanced Power BI skillsets; other visualisation tools will be an added advantage ie.

SSRS, QlikSense, QlikView Minimum 5 years of experience in similar role Internal & External stakeholder engagement Excellent communication skills Data Manipulation Language - T-SQL, PL/SQL Azure based cloud environment If you are looking to take your BI career another step further, ACT NOW! Please click on APPLY to submit your latest CV. Call Fei Wong 02 9270 5292 for a confidential chat or email fwong@siriustechnology.com.au."	 - Sydney Central Business District NSW	Business Intelligence Developer - Power BI - Sydney Central Business District NSWPermanent	Business Intelligence Developer - Power BI
