,description,title,revised_salary,rel_title,ranking,category,salary_level,state,city
17,"Digital Sales Business Analyst
Opportunity to collaborate on innovative customer-facing digital products with an industry leader
Challenge yourself to implement robust revenue and sales initiatives in a high-performing cross-functional team
Permanent opportunity based in our Mascot campus

Qantas is synonymous with aviation, but we’re evolved in ways that may surprise you. We’re taking digital to a whole new level, investing in technology and digital solutions to fly our business forward. Keeping our complex business ahead of the game in the digital age is a constant challenge. To be the best, we work hard to deliver solutions that respond to the needs of our business and customers.

In our digital and technology hub teams, time is of the essence. The projects we work on and the people we work with depend on us to create solutions quickly. While this can be demanding, we’re up for the challenge. With a thorough understanding of business vision and context, the Digital Sales Business Analyst will play a pivotal role in the process of solving internal and external customer requirements through being a key player in the discovery, management and improvement process across an array of digital and sales products

Passionate about commercial opportunities that drive revenue outcomes, and with a high level of business acumen, the Digital Sales Business Analyst is comfortable with establishing and generating revenue reports, managing a range of commercial initiatives, assisting decision-makers in gathering information to make decisions and effectively communicate commercial and customer insights.

You’ll have:
3+ years’ experience as a sales or business analyst and experience in, or a passion for, agile ways of working
Strong commercial acumen with proven expertise in generating digital initiatives to improve revenue
Analytical and strategic thinking with the ability to identify commercial opportunities and formulate a solution
Prior experience with, and strong comfort using, collaboration tools such as JIRA and Confluence or Agile practices
Solid experience establishing and executing reports in a digital analytics or business intelligence (BI) tool, preferably Adobe Analytics
Strong experience in building & comparing data sets to deduce accurate insights
Experience managing and improving digital feature sets and processes in an e-commerce setting
Comfortable facilitating workshops and collaborating with stakeholders of varying seniority
Ability to work independently, remotely, think strategically and creatively, and deal with complexity and ambiguity
Experience or knowledge in Airline pricing and inventory is highly desirable

Qantas is an equal opportunity employer committed to providing a working environment that embraces and values diversity and inclusion. If you have any support or access requirements, we encourage you to advise us at time of application. We are committed to creating an inclusive workplace. Talk to us about how this job could be flexible for you. of our roles.

Be a part of something special and play your part in the Qantas story – get in touch today.",Digital Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Sydney 
21,"About the role : As a Business Analyst you would be the business advocate working with clients (and collaborating with internal stakeholders such as product development, operations, sales, etc) to ensure high quality and on-time delivery.The role involves working with clients and carrying out research and deep analysis to identify areas that need transformation, improving or updating, and then mapping solution to meet the clients need.This position is required to travel to customer sites for periods of up to two weeks.Roles and responsibilities: Analysis Requirements - evaluate business processes, anticipate requirements (including making relevant recommendations to reduce risk), uncover the underlying business issues that need to be addressed and discover any information related to the transition.Interpreting data about company policies and workflowsLiaise with senior management and staff to ensure all requirements are captured.Capacity to demonstrate products and principles to all levels of a business.Document requirements of the client ensuring that the requirements are in a format that can be easily shared with and understood by all stakeholders.Validating and Verifying Requirements – Making sure that the requirements map to the business need being addressed, they are approved by all the appropriate stakeholders and that they meet with relevant regulatory and quality standards.Estimating costs and time requirements of projectsEvaluating risks and predicting potential problemsEstablishing deliverables, milestones, acceptance testing parameters, etcDevelop transformation plans/roadmaps and project schedule.Making sure projects stay within budget and target spending requirementsWorking on other project phases like implementation and testingFacilitating a successful release handover. Develop hand over documentation to ensure smooth transition to support/delivery team(s).Training internal staff in how to use new systems.Key SkillsA good Business Analyst must have a combination of both soft skills and practical skills. Often working between the support, product, IT department and particular business areas as such it is essential that a BA has good negotiating skills, is a great listener and is skilled at dealing with conflict. Other key soft skills include:Problem solvingStrategic thinking & planningLeadershipTechnical writingCommunication, public speaking/presentingTeam buildingSelf-MotivationDue to the technical nature of a Business Analyst role you will also be expected to remain relevant, up to date and have good knowledge or experience of the following technical areas.Process Design, Systems Analysis, Data ModellingProject Management (Prince2, Scrum)SQL and or JadeFinance/Accounting/BankingBusiness Model AnalysisBusiness IntelligenceRequirements: A bachelor’s degree in business or related field or an MBA.A minimum of 5 years’ experience in business analysis or a related field.Exceptional analytical and conceptual thinking skills.The ability to influence stakeholders and work closely with them to resolve problems.Proven experience in eliciting requirements and determine acceptable solutions.Excellent communication and documentation skills.Fundamental analytical and conceptual thinking skills.Experience creating detailed reports and giving presentations.Excellence in Microsoft applications including Word, Excel, and Outlook.A track record of following through on commitments delivering to timeframes.Excellent planning, organizational, and time management skills.Experience leading and developing top performing teams.A history of leading and supporting successful projects.A NSW Driver’s License.Job Types: Full-time, PermanentSalary: $85,000.00 to $120,000.00 /yearExperience:business analysis: 1 year (Required)",Business Analyst,102500.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Sydney 
32,"TNT Express is one of the world's leading providers of business-to-business express delivery services. We are dedicated to offering a positive and vibrant working environment while providing our employees with training that will unlock their full potential and create pathways for career advancement.
Working within a team of analyst and reporting to the Business Control Manager, we are seeking a Finance Business Analyst on a 12-month fixed-term contract who can improve our level of commercial analysis for the TNT Regional Express Business.

This is a true business partnering role and an excellent opportunity to drive strategic opportunities while influencing key stakeholders across our organisation by providing reporting & analysis of financial management information and improving business performance at both a local and group head office level.
About the role
Preparation of the weekly and monthly P&L process.
Assist improving the quality and reducing process time of weekly and monthly P&L
Support general manager through the budgeting and forecasting process – working closely with functional directors to ensure all group requirements are met.
Analyse and understand the drivers of the business, KPI’s, and trends within revenues and costs
Write commentary on business performance and help stakeholders improve business performance
Assist in the forecasting and budgeting process and provide support to strategic planning exercises
Support and assist with Finance and cross-functional projects ranging from training needs to finance system reviews
Ensure accuracy, timeliness and relevance of all local and overseas reporting.
Build and maintain strong relationships with key stakeholders within and outside Finance
Assist in the support and development and implementation of business intelligence systems
Support LEAN initiatives in the business by providing insightful financial analysis.
About you
Experience in developing business-partnering relationships with Business Managers and supporting non-finance Management requirements
Degree qualified within business, economics or accounting
CA/CPA qualified or working towards this
SAP experience is an advantage but not essential
Strong experience in application and utilisation of systems and reporting tools including Excel, Access and Cognos TM1
The ability to demonstrate key stakeholder management skills up to Director level
Knowledge of the transport industry is an advantage but not essential
What we can offer you
The opportunity to be a part of a global industry leader within the transport industry
Work within a supportive and collaborative team environment
Fantastic career development opportunities with on-going training and support
Special employee discounts such as health insurance, gym memberships, travel and more
Located 100m from Mascot train station
If you have the above skills and are looking for an exciting and rewarding career, apply today. We look forward to hearing from you.",Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Mascot 
34,"For over 15 years Quantium have combined the best of human and artificial intelligence to power possibilities for individuals, organisations and society. Our solutions make sense of what has happened and what will, could or should be done to re-shape industries and societies around the needs of the people they serve.

Q checkout is a self-serve insight portal, giving Retailers and FMCG Suppliers access to customer understanding across their business. Its action-focused questions help to drive customer and category strategies across range, price, promotions and performance diagnostics. Q checkout gives product, brand and marketing managers a 360° view of their customer, to understand who they are, when they shop, what their needs are, and how they can grow their business.

 Work with a team that is constantly pushing the boundaries with both the latest technology and market leading analytics as complex metrics are made available to users instantaneously on the largest Retail dataset in Australia. Q checkout is hosted on Quantium’s Hadoop big data platform allowing users to instantaneously browse actionable insights and make data driven decisions in real time.

Working with the support of Product and Delivery Managers this role will provide business analysis and testing support to a cross-functional agile squads (~5-10 people). This role will shape the future direction of key features within Q checkout in order to meet substantial growth and revenue targets. This is a unique opportunity to work with a talented team utilising the latest technologies to shape the future of Quantium's flagship product.

 As the Business Analyst you will be responsible for discovering, communicating and solving the underlying business needs that Q checkout will address, through close collaboration with users and product stakeholders. The Business Analyst is also responsible for organising and articulating clear, concise functional requirements to delivery teams and verifying these requirements have been successfully implemented.

Key responsibilities

Facilitating user focused workshops that solicit unambiguous user problem statements and valuable product insights
Articulate business problems by decomposing them into manageable and structured components
Designing solutions and features that solve business problems and satisfy user needs
Documenting and communicating functional requirements to UX SMEs, analysts and software engineers working in cross functional delivery teams
Key activities

Preparing materials and activities for user focussed workshops and user interviews
Running user focussed workshops and capturing insights and outcomes
Working with product leads and industry SMEs to design valuable products that solve business needs and problems
Decomposing product features into functional requirements, non-functional requirements, business rules, data flows, and constraints
Supporting a product lead with preparing, grooming and influencing their product backlog
Defining acceptance criteria that unambiguously define the scope of functionality
Gathering users (internal and external) feedback and combined with usage metrics developing actionable insights
Sharing product knowledge with the delivery, operation, support and sales teams
Experience and education required

3+ years hands-on experience in digital / software projects that have employed Agile / Lean techniques and methodologies
Experience applying business analysis techniques in projects delivering data transformation, business intelligence and reporting
Strong academic background – computer science, engineering, maths and statistics all highly regarded
Excellent written and verbal communication skills with a tenacious, resilient, resourceful and collaborative approach to delivery
High competency with issue / task management systems (e.g. JIRA) and team collaboration software (e.g. Confluence)
Ability to engage with internal and external stakeholders at all levels (client side, users, product leads, developers and subject matter experts)
As one of the world’s fully diversified data science and AI leaders we operate across every sector of the economy and we’re growing fast - with growth comes opportunity! We’re passionate about building out our team of smart, fun, diverse and motivated people.

We combine a team of experts that spans data scientists, actuaries, statisticians, business analysts, strategy consultants, engineers, technologists, programmers, product developers, and futurists – all dedicated to harnessing the power of data to drive transformational outcomes for our clients.

We actively foster a culture where our people can stretch themselves to reach their full potential. We also know that work has to work for you, and modern life is fast paced and balance can be tricky. You want to work where you are respected and valued as an individual, not a number. Quantium embraces a flexible and supportive environment dedicated to powering possibilities for our team members, clients and partners.

Quantium are an equal opportunity employer and value diversity. We are a multicultural team of various beliefs, sexual orientations and gender identities. We celebrate our diversity of race, religion, colour, national origin, gender, sexual orientation, age, marital status and disability status.

Please note, this role is not suitable for Graduates. If you are a graduate and you’d like information about our Graduate Academy please visit https://au.gradconnection.com/employers/quantium/about-us/

If you submit an application or expression of interest to The Quantium Group Pty Ltd, we may disclose your application or expression of interest on a confidential basis to our related companies, and joint venture companies, including Quantium Health Pty Limited. We will only make such disclosures for the purpose of considering your application or expression of interest and opportunities in those organisations.",Agile Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Sydney 
36,"A vacancy exists in the above unit for a highly motivated Business Analyst with appropriate knowledge and skills to join our friendly and supportive team. Our progressive and innovative team offers development opportunities for our staff and a caring environment for the delivery of high quality patient centred care. The successful applicant(s) will be responsible for planning of business analysis activities, small projects and streams of work related to large scale projects, solution testing & improving operational procedures and business processes. The Business Analyst is also responsible for assisting with the BI Tool Development, Finance systems maintenance, establishing and maintaining effective relationships and communication with External Vendors, Consultants & Companies to ensure organisation goals and priorities are met.

Position Duties:

Project Management

1. Takes assigned small to medium sized projects, project streams & tasks from original concept through to final implementation

2. Creates and maintains project schedules by developing project plans, establishing deadlines, monitoring tasks & milestones, providing timely reporting of issues that impact project progress and resolving conflict

Business Analysis & Reporting

3. Elicits the underlying business need to be addressed and information related to the product and project requirements, often through conversations with stakeholders.

4. Reviews & analyses requirements and creates detailed documentation of business processes & functional specifications

5. Assist with data analysis, ETL processes, data visualisation and design (SQL and BI Tool)

Quality Assurance & Testing

6. Defines, develops and implements testing strategies and end user test plans (UAT)

7. Identifies and trouble shoots issues early to mitigate project and operational risks

Training

8. Assists with training strategy development, procedural documentation and end user training as required.

9. Establishes & maintains effective relationships & communication with internal & external stakeholders
For further information and to submit an application please go to https://svha.wd3.myworkdayjobs.com/SVHA_Sydney_Public/job/Darlinghurst-Sydney/Business-Analyst_JR103694-1

Applications close at 11:45pm on 26th October 2018
Selection Criteria Personal integrity and demonstrated commitment to the Philosophy, Mission and Values of Mary Aikenhead Ministries and St Vincent’s Health Australia

Tertiary qualifications in IT, Information Systems, Computer Science or similar, or equivalent related experience

Experience in an appropriate combination of the following areas:SQL and Business Intelligence Tool experience, Project Management experience – involvement/management of small projects, Consulting experience, Configuration/support experience, Microsoft Office, Visio, MS Project.

Outstanding interpersonal and communication skills – both written and oral – with a clear ability to effectively liaise and foster positive relationships with internal and external stakeholders.

Highly organised and task orientated with the ability to work both independently and collaboratively in a team environment

Quick learner who is flexible and adaptable with a ‘can do’ attitude with excellent problem solving ability and decision making capability

Proven capacity to manage multi-disciplinary teams

Proven ability to align & adapt operational activity with organisation strategy",Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Darlinghurst 
71,"Microsoft Business Intelligence Developer | Analyst, Sydney CBD

Location: Sydney North CBD
Salary: Dependent on Skill-Set
Role: Permanent

About the role:

My client is currently seeking a Business Intelligence (BI) Developer | Analyst whom resides or is willing to travel to Sydney CBD.

My client is a consulting agency working on multiple projects working on projects such as data warehousing, integration, multi-dimensional cubes and end user analysis.

The role will require you to work and develop end user products that can meet client expectations in terms of usability and visual aid.
*Please note this is an important focus*

This is a permanent role and the successful applicant must have in-depth knowledge in Microsoft BI Stack - SSIS, SSAS, SSRS | Business Analysis

Please note: Certifications are most beneficial

Requirements:

Microsoft BI development experience across the BI Stack- SSIS, SSAS and SSRS
Strong relational database and SQL Query writing skills.
Experience in optimizing Microsoft Power BI dashboards with a focus on usability, performance, flexibility, testability, and standardisation
Knowledge of Azure or AWS
Experience working with Tabular models
Soft Skills required:

High attention to detail and strong analytical & problem solving skills
Excellent communication across all organisation levels
Responsibilities:

Build interactive data visualizations, dashboards and reports (primarily with Microsoft Power BI)
Undertake data analysis and collaborate with analytics team to shape data to meet data visualization needs
Use Power BI, excel and DAX to develop Power BI models / solutions
Analyse, understand, and document user needs to ensure accurate fulfilment of user story requests from internal business customers.
Contact us:

If you believe you have the skill set and fit the description within the role of a MS Business Intelligence Developer, please feel free to forward your Resume and Cover letter to:
Or alternatively call Ajaye

Phone: +61 3 9088 - 3725

e-mail: A.Sakai-Chen@nigelfrank.com

Nigel Frank:

Nigel Frank International is the leading Microsoft Dynamics recruitment firm globally, advertising more Dynamics CRM jobs than any other agency. We deal with both Microsoft Partners & End Users throughout the APAC and we have never had more live requirements & CRM jobs for Microsoft Dynamics professionals.

By specializing solely in placing candidates in the Microsoft Dynamics market I have built relationships with most of the key employers in the APAC and have an unrivalled understanding of where the best opportunities & CRM jobs are.
SQL / T-SQL / SSIS / OLTP / Database Development / Stored Procedures / Software Development / Lo / SSRS / SSAD / Azure / PowerBI / Machine Learning / Data Science / C# / Python / R / MS SQL Server / Data Modelling / Insight / Analytics / Project Management / Business Analysis","MS BI Developer SSAS, SSRS, SSIS | Data Analyst",85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,  Sydney Central Business District 
72,"If you love the idea of making your living by crunching data to get amazing client outcomes, then come join us. We're not ashamed to admit that we're data geeks. Everyone from the CEO to our consultants and admin staff live and breathe data. Plus, we offer a really cool space to work in, great benefits and rewards ... and most importantly an awesome team with more talented data and analytics people than you can point an algorithm at.

We are looking for Business Analysts with a strong background in Business Intelligence and Data Warehousing to liaise with all business units and stakeholders to provide direction in determining specific area and/or departmental BI needs. You will require a mix of proven business acumen and sound technical abilities, and the ability to lead users in an information exchange that captures information in business terminology and translates to drive technical design.

Essential Skills and Experience


At least 5 years of experience in business intelligence with sound understanding of the concepts of business intelligence including data warehousing.
3 years' experience working with business units determining BI and reporting needs.
Demonstrated technical aptitude for working with BI software packages and data sources.
Excellent consulting and internal customer service skills.
Solid knowledge and minimum of 2 years' experience with SQL.
Skilled strategic communicator to present and explain concepts and ideas, build strong linkages with team members using various vehicles of communication to share information, write/edit business cases/briefing notes and technical reports on recommendations related to technology solutions and plans; present recommendations to managers and directors.

Infoready Consultants have the opportunity to deliver Data and Analytics solutions for tier one clients that include some of Australia's leading enterprises across the Financial Services, Utilities, Telco, Retail and Government sectors. With offices in Melbourne, Sydney and Brisbane we specialise in making organisations smarter by transforming data into actionable intelligence through our unique application of our expert team, processes and technology.

We would consider contractor opportunities if you have a strong skills match.

If you are looking for a new challenge and want to join Australia's leading Data and Analytics Consultancies, please apply on line.

#Infoready",Data Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Sydney 
88,"Data Scientist

CPT Global provides IT/digital consulting and delivery services to our clients around the world. We’ve helped customers improve their IT delivery, speed and capability in industries such as finance, telecommunications, utilities, health, government, and logistics and achieve profitable growth. CPT began operation in Melbourne in 1993 and has grown to offices on five continents by providing value and constant focus on client delivery.

Join CPT Global and help us to transform our business into the digital world. Choose CPT and start to work for top tier clients. For more information, please visit http://www.cptglobal.com/

Role:

CPT Global is looking for an experienced Data Scientist as we are growing our capabilities across the Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) space. You will be responsible for analysing and presenting data that brings behaviour change from key decision makers within the organisation.


Duration: 6 months contract
Location: Sydney CBD

Skills:
Strong experience working as a Data Scientist. Good to have experience in banking industry.
Experience of working with large data sets, statistical techniques and analysis – data mining, cleansing, regression, segmentation and clustering.
Significant experience in working with R/SAS/SQL/Python/any modelling tool. Good to be from statistics background.
Knowledge of customer journey, campaign life-cycle, marketing concepts like response rates, experimental design and optimisation.
Knowledge of model development, assessment and methodologies.
Excellent analytical and conceptual thinking, planning and organisational skills.

If you like getting your hands dirty with data & solving interesting problems, APPLY NOW! You can apply directly or send your CV with subject ‘Data Scientist’ to hradmin@cptglobal.com.


CPT Global is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.",Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,  Sydney 
92,"Non-profit organisation
Fixed-term
30 hours per week
About the organisation
Access Sydney Community Transport Ltd, is a Sydney based not-for-profit organisation located in Ultimo. It specialises in the provision of transport services for the frail aged, younger people with disabilities and their carers who require accessible and affordable transport options.
Values
All employees/contractors have a responsibility to behave in accordance with the values of Access Sydney which are: Equity, Diversity, Responsiveness, Safety, Participation, Co-operation, Sustainability and Quality.
Purpose of the Position
The purpose of the Business Analyst is to support and assist with the delivery of ASCT change initiatives and projects.
The purpose of the Business Analyst is to lead ASCT's business performance improvement initiatives through analysing opportunities for improvement and identifying possible options that may be adopted.
Working with the Senior Management Team, the Business Analyst is responsible for
Analysing business processes, systems and performance in order to develop and implement business improvements.
Increase the visability and usability of business data through creating and maintaining business intelligence solutions for the Senior Management Team.
Managing internal and external reporting to meet regulatory, risk and contractual obligations.
If you are interested in applying for this position
Read the full job description and key competencies attached.
Submit a cover letter addressing the key competencies and a CV with two professional referees to company website
Applications close: Thursday 18th October 2018.",Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Sydney 
100,"Mastercard Payment Gateway Services is a leading supplier of online payment and fraud screening services. We are an innovative and ambitious market leader intent on growing our global presence. We follow the best software development and Agile practices, to deliver successfully, again and again.


As part of our ongoing expansion, we're looking for a Product Owner and Business Analyst who is as passionate about building great software products as we are about excellence in financial payments; someone who enjoys creating and delivering successful software systems in a team of proud and collaborative software engineers and product managers.


Be part a team that is responsible for building a global platform that performs at scale serving millions of customers
Drive the discovery and understanding of business and system requirements for new and existing software platforms, working with the Product Management team to understand their most needed and desired feature needs.
Lead the creation and prioritisation of user stories, and acceptance of done software to build and deliver world-class payments software systems.


Role


Ensure business requirements are understood by the technology group by analysing business requirements and articulating the technical requirements.
Collaborate with Product Management, Solution Architect, and the Scrum Team to understand the business requirements and document the functional, technical and operational requirements. Work closely with the solution architects to ensure requirements understanding and definition of solution.
Prepare detailed user stories, use cases, process flow, logic diagrams, storyboards, UI mockups to support understanding of the requirements and proposed solution.
Support Agile/Scrum processes for building, demonstrating, and delivering new feature capabilities for the software platform.
Define application testing requirements together with other team members. Assist with testing, training and implementation to ensure quality assurance and acceptance of the technology solution
Prepare and maintain application level user documentation. Lead technical training sessions with end users prior to commencement of UAT. Provide application level subject matter expertise (SME) as required to Scrum Team and Production Support Team


All About You


Must have strong English communication skills, spoken and written and a strong ability to communicate with varied audiences both technical and business.
Depth of experience and knowledge within the financial payments industry.
Collaborative: must be a team player, encourage team mates, share knowledge, consult with peers, listen carefully, and be open to ideas from others
Systems thinking, ability to analyse and clearly explain systems and processes. Proven analytical and problem-solving skills.
Proactive and self-motivated, can do attitude. Willingness to go above and beyond the call of duty.
Excellent technical writing skills
Technical skills: Experience with Agile methodologies, particularly Scrum. Proficient diagramming skills using Visio or similar. Depth of understanding of technologies.


Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law.

If you require accommodations or assistance to complete the online application process, please contact reasonable.accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly.",Product Owner and Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Sydney 
