	description	location	salary	title
691	"First a bit about ANZ

At ANZ, everything we do boils down to ‘why’ – our purpose – to shape a world where people and communities thrive. We're just as focused on seeing our people thrive as well as our customers. We'll give you every opportunity to develop your career.

We are responding faster to changing customer requirements, focusing on the things that matter the most, energising our people, eliminating waste and reducing bureaucracy.

ANZ has started to move to a new way of working, leveraging agile practices. To understand more about this new way of working and if this role is right for you, we strongly encourage you to take a look at The ANZ Way vimeo channel where you’ll find ‘The ANZ Way’ animation and the ‘New Ways of Working’ animation.

We have a Financial Data Analyst role available within our Simplification Centre of Expertise (CoE), where the mission is to “radically simplify our products, processes and systems to provide experiences that delight, while reducing cost and complexity”.

Our Data Analysts deeply understand the power of financial data to generate quality customer insight, manage information, identify trends and make decisions.

What might a day in the life look like?
Implement a fact-based culture throughout the bank; Fact base will contain Customer, Operational, Commercial, Market place, Regulatory inputs aligned to business objectives
Continuous generation, monitoring, presenting and conducting of 'fact-based' analysis of relevant customer insights to use at any time for the development and improvement of relevant and innovative propositions
Continuous measurement and analysis of various customer journeys
Perform data analysis within different Tribes in order to support individual missions of Squads
Generate, monitor, present and analyse relevant customer insights, costs, benefits, and risks for customers, clients and cohort products; this could include business casing, what if scenarios and opportunity sizing & assessments
Develop tools and methods to fully profile customers and customer segments
Source data from a variety of sources to combine, synthesise and analyse to generate insights
Support key data platform and/or data scheduling jobs to support insights delivery to key audiences (e.g. frontline, other tribes)
Lead, Optimise, Design and execute business interventions (customers and operational) to uplift customer engagement and business performance
What will be in your toolkit?
Strong communication and presentation skills
Hands-on knowledge and experience with tools and techniques for analysis, data manipulation and presentation (e.g. SAS, SQL, Tableau)
Analytical and inquisitive mindset to continuously improve the level of insight surfaced
Strong ability to translate data insights into practical business recommendations
Financial forecasting, analysis and planning
Strong data visualisation skills
Ability to effectively communicate to all stakeholders (technical and non-technical)
Things that I am (or strive to be!)
A team player
The customer’s biggest fan
A collaboration champion
Comfortable being uncomfortable
Continuous improvement junkie
Committed to my own and other’s growth
A problem solver
Commercially and Tech curious
At ANZ we aim to create an inclusive environment where employee differences such as gender, age, culture, disability, sexual orientation, family and caring responsibilities and religion are valued.

We work flexibly at ANZ. Talk to us and let us know how this role can be flexible for you."	 - Melbourne VIC	Data Analyst (Simplification CoE)ANZ Banking Group902 reviews - Melbourne VIC	Data Analyst (Simplification CoE)
692	"The Company MSC Mediterranean shipping company is a world leader in container shipping. MSC has evolved from a one vessel operation into a globally respected logistics business with in excess of 500 vessels and 70,000 employees. MSCA is the Australian / New Zealand agency for Mediterranean Shipping Company.

The Position We are presently looking for a motivated, experienced Data Analyst or an up and coming Data Scientist, with excellent communication skills to join our Information Technology team in Fremantle, Western Australia on a contract basis.

The primary task and responsibilities for this position:
Identify, gather, cleanse and structure data for analysis
Use statistical and analytical models to identify business insights, address relevant business questions and support data driven decisions
Clearly present and explain analysis and recommendations to stakeholders
Gather user requirements and collaborate with teams to acquire an understanding of core business processes and operating environment
Provide high quality analytical support, planning and the facilitation of process improvement
Contribute to the enhancement of our data and analytics strategy

The successful applicant will be expected to demonstrate the below skills:

Technical competency with Microsoft Transact-SQL
Working experience of a statistical programming language such as R or Python (mandatory requirement)
Knowledge of statistical modelling and predictive analytics or machine learning techniques
Experience developing in the Microsoft BI stack including Microsoft Power BI
Ability to organise and query complex data sets using sophisticated analysis tools
Familiarisation within data visualisation, data wrangling and data discovery tools
The ability to build custom dashboards, reports and quality presentations
Excellent communication skills
Outstanding presentation skills
A relevant tertiary qualification is desirable

Interested applicants should forward a brief cover letter and resume.
MSCA is committed to developing and maintaining a diverse workforce."	 - Melbourne VIC	Data Analyst/Data ScientistMediterranean Shipping Company328 reviews - Melbourne VICContract	Data Analyst/Data Scientist
693	"Who we are
What do Airbnb, Kind and Salesforce have in common? They use Culture Amp every day to make their workplaces better and grow highly engaged employees. They also make up a community of nearly 2,000 organizations from around the globe who stand together to change the world of work.
With offices in Melbourne, San Francisco, New York, and London, Culture Amp isn’t just for fast-growing startups - we’re for every organization that wants to put culture first. By making it easy to collect, understand, and act on employee feedback, we enable People teams to make better decisions, demonstrate impact, and turn company culture into a competitive edge.
It’s what makes us the world’s leading employee feedback platform.

The Opportunity at Culture Amp
We’re looking to make a step change in the way we do product analytics. That's where you come in. As our Data and Insights Analyst, you’ll work closely with various stakeholders—from product managers to people scientists, from data engineers to data scientists—to generate insights from our various data sources. In doing so, you’ll unlock value that can help delight our customers and take our business to the next level.

As one of the members of this business-critical practice, you will:

Work closely with our product teams to develop a deep understanding of our product
Perform exploratory analysis, uncovering useful insights about how our product is being used
Respond to ad-hoc requests for reports and data in an accurate, timely and professional manner
Operationalise and democratise reports, making them available and always up-to-date using our business intelligence system
Identify data gaps in our instrumentation and data collection, and work with our engineers to fill them

What You Bring to Culture Amp

To be successful, you must have the following skills:
An analytical mind and ability to think critically
The ability to turn business questions into technical requirements
SQL for analytical queries

You should have working knowledge of one of the following:
A digital analytics tool such as Google Analytics, Adobe Analytics or Amplitude
Modern business intelligence tool, such as Looker, Power BI or Tableau

Any of the following would be a bonus:
At least one programming language, preferably Scala, Python or Ruby
Machine learning or advanced analytics techniques
Familiarly with other data tools such as Apache Spark
Experience with dimension modelling for best-practice data warehousing
Familiarity with data engineering and data pipelines

How to Apply
To apply, please submit a CV and a cover letter addressing the skills required for the job. Best of luck!

Here are a few highlights from Culture Amp

Learn about our Employee Feedback Platform
The Rise of the People Geek
Our unique DIY approach to L&D
What does Culture First mean?"	 - Melbourne VIC	Data and Insights AnalystCulture Amp - Melbourne VIC	Data and Insights Analyst
696	About CognizantCognizant (NASDAQ: CTSH) is a leading provider of information technology, consulting, and business process services, dedicated to helping the world's leading companies build stronger businesses. Headquartered in Teaneck, New Jersey (U.S.), Cognizant combines a passion for client satisfaction, technology innovation, deep industry and business process expertise, and a global, collaborative workforce that embodies the future of work. Cognizant is a member of the NASDAQ-100, the S&P 500, the Forbes Global 2000, and the Fortune 500 and is ranked among the top performing and fastest growing companies in the world.Our CultureYour passion, integrity and experience are integral to Cognizant's success. You will be welcomed into a dynamic and expanding global leader in IT and Business consultancy where you will be valued for who you are. We take pride in our partnership with our clients, so your ability to add value and provide exceptional service to our clients are fundamental to your success. In return, you will be empowered with opportunities and support to develop your career and collaborate with people focused on innovation and ideas.The Role We are currently searching for Appian experts to deliver technical consulting services to our clients. This will be a hands-on technical role where you will be responsible forAppian developmentAnalysis, design, and new development of BPM based applications in a fast paced environmentConverting and documenting business requirements to system requirementsDesign and develop medium and large-scale software applications with other engineersTest changes to user interface, application functionality and database access as required by the client organizationCoordinates closely with other programmers to ensure proper implementation of program and system specificationsSupports data migration and loadingPrepares and maintains system, application and program level documentation as neededAssists in the review and analysis of detailed program specifications and designs to meet changes required in the work processesTo be successful in your application you will possess –Extensive IT and development experience with Appian being a main area of focusExperience with Appian 17.X and aboveAppian Analyst and Appian Designer Level certifiedExperience with SAIL scriptingExperience with building and using CDTsMy SQL/DB data modelling ConceptsSound knowledge of Appian Best practicesExposure to FITNESSE toolStrong Process modelling skills.Business process definitionExperience in creating Appian plugin-ins, smart services is a strong plusUnderstanding and experience with current code repositories such as TFS, GitHub etcExperience in working in Agile modelNext Step: If you would like to express interest in role, please click on the APPLY button now. Due to a high number of applicants, only shortlisted candidates will be contacted for a further discussion. We thank you for taking interest in this opportunity with us. For a complete list of opportunities with Cognizant visit http://www.cognizant.com/careersCognizant is committed to providing Equal Employment Opportunities. Successful candidate will be required to undergo a background check.Job Type: Full-timeSalary: $70,000.00 to $95,000.00 /yearExperience:java: 1 year (Preferred)	 - Melbourne VIC	Appian DeveloperCognizant Technology Solutions10,453 reviews - Melbourne VIC$70,000 - $95,000 a year	Appian Developer
697	"The Role & Opportunity
This is an exciting opportunity for someone who is keen to join a highly motivated application support team of a fast growing council based in west of Melbourne. Working within the application support team you will be responsible for managing and resolving enterprise application issues. Hands-on investigation, co-ordination and communication between their clients, IT teams and internal development teams is a key responsibility.

Key Deliverables:

Work collaboratively with vendors and business clients to ensure that systems and business requirements/needs are met.
Identifying and mitigating risk to performance and availability of information systems and security of data.
Maintain documentation of all applications assigned along with operational procedures and security requirements.
Implement changes to the organisations enterprise information systems in accordance with change management procedures.
Maintain Build and update enterprise information systems in accordance with architecture principles, business requirements and client needs.
Support staff in the use of new or changed enterprise information systems.

Mandatory Skills:

Minimum 5 years of experience in the implementation, development, maintenance and support of various enterprise applications.
IT service management functions such as incident, problem, change, and release and configuration management.
Proficient in enterprise information systems design to ensure the appropriate technological components are integrated to form a solution that meets business requirements.
Build appropriate and effective working relationships with internal clients and suppliers.
Proficient in issue analysis and problem resolution to ensure the service desk is provided with adequate assistance in servicing client needs.
Proficient in SQL, TSQL and PowerShell scripting.
Minimum 3 years of DBA experience in Microsoft SQL 2012, 2014 or later.
Minimum 3 years of experience in Crystal Report 11 or above.
Site/Farm Administration skills in SharePoint 2013/2016.
Administrator Experience with Civica’s ERP Authority will be advantageous.
Understanding of Firewall rules.

What's in it for you?


6 months contract role with possible extension.
Ideal for candidates located close to North West Suburbs.
Immediate start.

Interested? If you have the skills and motivation we are looking for, please Apply Now. For more information, please contact Abhi Bhatia on 03 8319 7819 or via email abhi.bhatia @ igniteservices.com."	 - Melbourne VIC	Application AnalystIgnite37 reviews - Melbourne VICContract	Application Analyst
698	"Join the Everyday Banking Tribe and be part of ANZ’s NWOW
An opportunity to work on some exciting projects that will have real customer impacts
This is a Business Analyst role like no other, you will focus on technology delivery and vender management
First, a bit about ANZ.
At ANZ, everything we do boils down to ‘why’ – our purpose – to shape a world where people and communities thrive. We're just as focused on seeing our people thrive as well as our customers.

We are responding faster to changing customer requirements, focusing on the things that matter the most, energising our people, eliminating waste and reducing bureaucracy.

ANZ NWOW Video

The mission of the Everyday Banking Tribe is to help our customers with surprisingly easy ways to move, manage and use their money.

This position will be based within the Loyalty squad, our mission is to recognise and reward all our customers for their loyalty. You will be working on the squad’s key priority to better reward our customers.

As a Journey Expert in the Loyalty squad you will be working with our technology partners, 3rd party vendors and other key stakeholders to meet and deliver project outcomes to fulfil the squads mission.

To be successful in this role you need to bring your strong Business Analyst and Vendor Management experience, ideally from the tech universe, to hit the ground running and assist the squad in landing some key projects.

This is a 12 month fixed term contract

Who are you?
A team player – You know we only win if we all win. You recognise and value the different perspectives and skills your colleagues bring. It is not about being a hero but jumping in and contributing to the successful delivery of the team’s mission
The customer’s biggest fan – You demonstrate a thirst for better understanding the customer and define the problem and develop solutions through their eyes
Comfortable being uncomfortable – You are comfortable with uncertainty and have the ability to effectively manage yourself through ambiguity and change
Continuous improvement junkie – You constructively challenge the status quo, look for better ways to do things and passionately advocate continuous improvement
Committed to your own and other’s growth – You strive to stretch and grow yourself and others by identifying your own development areas, seeking feedback and providing feedback to others to help them learn and grow everyday
A problem solver – You are energised by tackling complex problems and use critical thinking, your network, skills, knowledge, and available data to drive better outcomes for our customers and the bank
Risk savvy – You build sustainable solutions that protect customers, stakeholders and the community
What you bring?
First and foremost we are looking for passionate people who are creative, innovative and who want to live and breathe our new ways of working. From here you will bring;
An intense passion and curiosity for customers, their needs and wants, putting them at the centre of everything you do.
Demonstrable BA experience in areas such as; Business Implementation, Change Management, Business Analysis, Project Planning, and Stakeholder/Vendor Management.
A desire to optimise customer journeys and experiences.
Ability to explore customer needs in a data-driven way, develop and implement innovative solutions, test the outcomes, and iterate.
Interest in and an affinity for Technology.

Further general information on our opportunities please go to https://www.anz.com.au/careers/

“At ANZ we aim to create an inclusive environment where employee differences such as gender, age, culture, disability, sexual orientation, family and caring responsibilities and religion are valued.

We work flexibly at ANZ. Talk to us and let us know how this role can be flexible for you.”"	 - Melbourne VIC	Business Analyst (Journey Expert)ANZ Banking Group902 reviews - Melbourne VIC	Business Analyst (Journey Expert)
699	"The role
Reporting to the Associate Principal (Real-World & Analytics), this position will see you responsible for actively participating in the development and delivery of projects. You will assist in designing and delivering innovative, technology-enabled evidence programs for the pharmaceutical industry to help our clients improve population health. You will communicate effectively with various levels in the organization, demonstrate problem solving skills, and have an analytical mind; strong commitment to high quality of work with an interest in rapid learning and skills development.

Responsibilities include:
Contributing to internal brainstorming sessions to develop project methodology and recommendations
Conducting independent research to a specific brief using internal and external sources
Performing quantitative and qualitative analyses to aid development of recommendations; exercise informed business judgment in identifying the approach to the question
Contributing to the preparation, execution and follow up of client workshops
Assisting in proposal development
Completing data extractions and taking responsibility for creating sections of reports, presentations and other client deliverables, under supervision
Contributing to the build and regular update of client dashboards (MicroStrategy)
Presenting to client audiences via teleconference or in face-to-face meetings
Building professional relationships with members of the client team
Providing analytical support to Consultants, Senior Consultants and Associate Principals
Proactively developing knowledge of the healthcare industry and analytics methodologies

Skills and experience required:
Candidates interested in joining the IQVIA Real-World & Analytics Solutions Team as an Analyst will have:

1-3 years’ experience working as a data analyst, with graduates also welcome to apply
Developed SQL skills (moderate-advanced) through previous experience is essential
Advanced Excel skills and excellent IT literacy e.g. Word, PowerPoint
Experience with dashboard development (e.g. MicroStrategy) would be advantageous
Proven analytical, interpretative and problem-solving skills
Strong interpersonal and relationship building skills and an ability to build credibility with external and internal contacts
Good commercial awareness/business judgement and an interest in the healthcare industry (experience in pharmacy or the pharmaceutical industry an advantage)
Good project management, time management and organizational skills
Attention to detail and ability to deliver high quality work within timeline
A keenness to learn and commitment to a rapid development curve
A strong motivation to thrive in a client-focused, international team environment

Who are you?
You are a dedicated, data driven professional looking to develop your career. You will be detail orientated, intuitive and a team player who thrives in a fast paced environment."	 - Melbourne VIC	Data AnalystIQVIA138 reviews - Melbourne VIC	Data Analyst
700	"Computershare (ASX: CPU) is a global market leader in transfer agency and share registration, employee equity plans, mortgage servicing, proxy solicitation and stakeholder communications. We also specialise in business process outsourcing for customer and back office services, corporate trust, bankruptcy, class action and a range of other diversified financial and governance services.

About the Role:
We are seeking an enthusiastic Data Analyst to join our Management Information Team at our global head office in Abbotsford.
Our Management Information team is responsible for various reporting and data analysis functions in our Operations teams as well as the broader Computershare business in Australia.
The Management Information team plays a pivotal role in transforming the data within our systems into meaningful insights and measurements. This information is then used by our leadership team to support informed decision making.

Key Responsibilities of this role include (but are not limited to):

Updating and maintaining existing reports in accordance with defined schedules (including daily, weekly, monthly etc.)
Monitoring the team’s information request site for new task requests
Extracting data from current systems and preparing and interpreting this data for presentations to various different stakeholders – generally in graphical/tabular format (dashboards, scorecards etc.)
Leveraging off of information provided by key internal stakeholders to design and build new reports
Working with the team to continuously improve process and reporting outputs
Completion of ad-hoc reporting and analysis tasks

To be considered for the role you must have:
A working knowledge of basic relational database concepts
Advanced Microsoft Excel skills (formulas, pivot tables, experience with VBA macros)
Strong stakeholder management and communication skills
The ability to prioritise workloads and work to tight timeframes whilst juggling conflicting priorities
An analytical approach with strong problem solving capabilities
Excellent attention to detail

Desired skills and experiences:
Experience in writing SQL queries to extract data from SQL Server databases
Exposure to the current generation of Microsoft BI tools (Power BI, Power Query, Power View, SSRS)
Experience in the financial services industry or similar
Exposure to a multi-site contact centre or data processing environment

Benefits and Culture:
The opportunity to work for a large global corporation (over 15,000 employees) and the opportunity for career progression
Great discounts and benefits across from various companies and access to our Employee Share Plan
A wide variety of internal training courses supported by our Learning and Development team
A supportive working environment, with friendly peers and management
Great environment with onsite Gym, Cafe and Games Room

We want every person who joins our team, every customer and every supplier to feel welcome. We see diversity as a source of strength - the more perspectives we have, the better equipped we’ll be to meet the demands of our diverse global customer base. We believe in equality for everyone, regardless of age, ethnicity, gender identity, race, religion, disability or sexual orientation."	 - Melbourne VIC	Data AnalystComputershare616 reviews - Melbourne VIC	Data Analyst
701	"Reporting Analyst
 (Job Number: MEL08780)

WHO WE ARE
Betfair is the world’s largest, and Australia’s only, peer-to-peer wagering platform. We service a sophisticated customer base and offer a different way for punters to engage with racing and sport by facilitating transactions between people. Betfair is driven by the unique Betting Exchange motivated by leading technology from the UK, operating in a highly competitive market-place. Betfair Australia is owned by the ASX-listed Crown Resorts Ltd, who are the creators of Crown Casino in Melbourne, and Crown Casino Burswood in Perth.

OUR CULTURE
Betfair is an energetic and inspirational workplace where no day is the same. A creative & nurturing culture, we love coming to work.
We’re proud of Team Betfair, we would back them any day of the week. While we love to champion a win, how we play the game is just as important.
So, our culture is all about individuals working hard, but working together in a collaborative and supportive way.

THE TEAM
The Analytics and Insight team are a friendly crew who thrive on helping each other to learn and absorb new information together. We are constantly finding new and better ways of doing things to raise the level of our end product. We do like to keep it light with sports chat, weekly quizzes and slack games. We believe this forms an integral part of what our working culture looks like. Whether it is reporting or analysing data, we are the analytical thinkers behind Betfair’s mission statement to champion winning!

THE ROLE
Reporting to the Insights Manager, the Reporting Analyst will join an expanding team helping create complex code and data driven processes to assist the Analytics and Insights team in providing Value-Add insights and timely reporting to the wider business.

You will interact with all departments of the business; assessing reporting needs and creating intelligent reporting to solve business issues.

KEY RESPONSIBILITIES Wrangle complex data sets into useful formats Apply advanced SQL coding to create meaningful insight Develop and deliver reports to meet stakeholder needs Analyse data and information to provide insights Disseminate reports using new BI methods and present analysis to leadership Identify and utilise external information that adds value to reports Development of new analytical tools and methods to support business needs

DOES THIS SOUND LIKE YOU? Competent with SQL and experience with Tableau (or similar software) Excellent consulting and internal customer service skills Strong MS Excel Skills A passion for sports and/or racing High level of numeracy Able to take initiative. You get things done
Job Information Technology
Primary Location Melbourne
Position Status Full Time"	 - Melbourne VIC	Reporting AnalystCrown Melbourne Limited20 reviews - Melbourne VIC	Reporting Analyst
702	"About Our Team
Our Insights and Data team helps our clients make better business decisions by transforming an ocean of data into streams of insight. Our clients are among Australia's top performing companies and they choose to partner with Capgemini for a very good reason - our exceptional people
About The Role
The is a subject matter expert in their field of excellence. The role of the Data Quality Analyst involves leading the project, ensuring high quality and timely delivery and providing quality assurance. This role is expected to influence team members and act as a knowledge source. Key responsibilities of this role includes:


Solution design and architecting.
Strong customer/client focus, with the ability to manage expectations appropriately, to provide a superior customer/client experience
Guide the team across all steps in the Data Quality assessment process i.e. Data Standardisation, Cleanse, transform and parsing data using DQ transformations such as the Case Converter, Merge, Labeler, Standardiser, Parser.
Design, develop and implement solutions to address customer's organisational problems
Provide high quality service delivery on engagements
Actively manage client relationships
Identifying and satisfy resource needs
Seen by client as an “adviser” who can contribute to a broad range of strategic, operational and budget decisions central to the client's strategy and priorities
Provides high quality outcome on deliverables.

About you


Minimum of 6-10 years' experience working on Informatica Data Quality (Informatica specialist in Data Quality certification desirable but not mandatory)
Must have clear understanding of Data Quality, Data Governance, Data Lakes and Master Data Management concepts.
Understanding of software life cycle processes, experience of working in a large-scale program in Australia.
Informatica Data Quality and Informatica Master Data Management version 9.x, 10.x
Data Modelling, Advanced PL/SQL, Java SDK
Personal attributes: Problem solving skills, Team Spirit, Accountability and Responsibility
Other beneficial skills: Strong development and design background and people management.

What we can offer you?
Working at Capgemini you'll find the rewards are more than just financial. Not only will you work alongside inspiring colleagues with a world of experience but you will also have access to great benefits including, salary continuance insurance, paid parental leave, education assistance, salary packaging, the ability to purchase additional leave, as well as, discounts on entertainment, financial and wellbeing services, travel and shopping
About Capgemini
Capgemini is one of the world's foremost providers of consulting, technology, outsourcing services and local professional services. Present in over 40 countries with more than 180,000 people, the Capgemini Group helps its clients transform in order to improve their performance and competitive positioning.
Ranked among Ethisphere's 2018 Most Ethical Companies in the Word. Our seven values are at the heart of everything we do - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty.
If you believe you have “La Niaque” to go the extra mile, then apply by submitting your resume.
Want to know more? To learn more about Capgemini and find out about what makes our people unique, log ontowww.capgemini.com.au"	 - Melbourne VIC	Data Quality AnalystCapgemini Australia5,907 reviews - Melbourne VICPermanent	Data Quality Analyst
