	description	location	salary	title
151	"The Company MSC Mediterranean shipping company is a world leader in container shipping. MSC has evolved from a one vessel operation into a globally respected logistics business with in excess of 500 vessels and 70,000 employees. MSCA is the Australian / New Zealand agency for Mediterranean Shipping Company.

The Position We are presently looking for a motivated, experienced Data Analyst or an up and coming Data Scientist, with excellent communication skills to join our Information Technology team in Fremantle, Western Australia on a contract basis.

The primary task and responsibilities for this position:
Identify, gather, cleanse and structure data for analysis
Use statistical and analytical models to identify business insights, address relevant business questions and support data driven decisions
Clearly present and explain analysis and recommendations to stakeholders
Gather user requirements and collaborate with teams to acquire an understanding of core business processes and operating environment
Provide high quality analytical support, planning and the facilitation of process improvement
Contribute to the enhancement of our data and analytics strategy

The successful applicant will be expected to demonstrate the below skills:

Technical competency with Microsoft Transact-SQL
Working experience of a statistical programming language such as R or Python (mandatory requirement)
Knowledge of statistical modelling and predictive analytics or machine learning techniques
Experience developing in the Microsoft BI stack including Microsoft Power BI
Ability to organise and query complex data sets using sophisticated analysis tools
Familiarisation within data visualisation, data wrangling and data discovery tools
The ability to build custom dashboards, reports and quality presentations
Excellent communication skills
Outstanding presentation skills
A relevant tertiary qualification is desirable

Interested applicants should forward a brief cover letter and resume.
MSCA is committed to developing and maintaining a diverse workforce."	 - Melbourne VIC	Data Analyst/Data ScientistMediterranean Shipping Company328 reviews - Melbourne VICContract	Data Analyst/Data Scientist
152	"Play a key role in using advanced analytics to discover actionable insights
Join a fast paced, dynamic and agile team
Bring your passion for analytics that will lead to improving customer experiences

At NAB, we believe success comes from our people. We're committed to supporting your talent and skills through your career, as you help us build a culture that affects change for our customers - and for the community too.
NAB’s Analytics Hub exists to shift mindsets across the enterprise to empower and enable the analytics community to continually deliver the information and insights necessary to drive a world class customer experiences & market leading financial performance. This is achieved by:

Embedding analytics across NAB to drive a data driven culture so we can grow, attract & retain talent
Make it easier to perform high quality analytics & provide access to data, platform and tools
Enable experimentation to drive innovative solutions for our customers powered by analytics.

Reporting to the Manager, Delivery Analytics Experiments, the Data Scientist will collaborate with line of business stakeholders, leveraging NAB’s technology and data to conduct discovery activities, and deliver advanced analytic insights to improve customer experience and add shareholder value. You will work within cross functional experiment teams, conducting experiments using advanced analytics and machine learning techniques to discover actionable insights.

Further responsibilities include:
Working on analytic experiments in the Analytics Hub
Sharing knowledge and uplifting capabilities with analysts in the business
Thought leadership in the approach to analytics at the bank
Demonstrating value and benefit from advanced analytics to senior stakeholders

To be successful in the role you will have experience in some of the following technologies/disciplines:

Effective stakeholder management and capability to influence
Ability to understand and interpret problems
Predictive Modelling
Feature Engineering
Text Mining and Sentiment Analytics
Machine Learning
Teradata Aster/SQL MapReduce
Hadoop, MapReduce, Hive, Pig, Spark
SAS and SAS Visual Analytics
Python (NumPy, SciPy, etc)
Strong SQL skills using Oracle and Teradata

To be eligible to apply, you must be an Australian / New Zealand citizen or hold permanent residency status in Australia.

We embrace diversity of thought, style and working arrangements to ensure our workforce is representative of the community that we serve."	 - Melbourne VIC	Consultant, Data ScientistNational Australia Bank321 reviews - Melbourne VIC	Consultant, Data Scientist
153	"Crunch data, uncover insights and create knowledge. Join InfoReady, part of Arq Group, where you can design and implement solutions that enable organisations to harness data for competitive advantage

What you get to do.
Working with many of Australia’s leading companies, you will deliver advanced and predictive analytics, segmentation and classification help converting business problems into solutions. What you do will directly impact client’s growth, customer churn, increase efficiencies and predict customer demand.

About you.
We seek candidates with minimum of 5 years experience working on relevant real-world applications, with a minimum Masters degree in Analytics/Machine Learning or other related computer science program from a top program.
You will be leading teams that build solutions using tools such as Python, R, and Machine Learning frameworks that help converting business problems into solutions that may help clients maximise growth, reduce customer churn, increase efficiencies and predict customer demand.

Essential Skills

Fluency in Python, R, or SQL
Experience dealing with large unstructured data sets with multiple sources –
Hands on Machine Learning within a Business Context
Data Vizualisation experience. Using Tableau , Qlik or similar.
Strong Business Analysis experience
Big Data/Cloud technologies
Ability to present finding to C-level stakeholders

We are smart thinkers. We solve complex challenges and provide complete solutions for businesses, big and small. From design thinking, leading mobile apps, cloud and analytical insights, digital marketing, to web design. Arq Group is Australia’s leading digital partner.

#LifeatArq
Our people are our greatest asset. Curiosity is in our DNA. Courage is in our hearts. And collaboration is at our core. “Our Ways” set us apart from others in how we deliver to our customers and work together. From wellness programs, learning and development, social calendars to coffee machines, and more. We've got something for everyone to be themselves. Did we also mention how much fun it is to work with other Arqadians? And yes, it is true; we love what we do. Join Arq Group and find your space to (change).
At Arq Group, we unleash the possibilities between business and people.
#Infoready"	 - Melbourne VIC	Lead Data ScientistArq Group3 reviews - Melbourne VIC	Lead Data Scientist
154	"Data Geek Believe and love Big Data Love to think; Love to study; Love to innovate Solid foundation in various data techniques Discover intrinsic natures of users from big data, and analyze user behavior as well as their customized needs. Develop new data attributes of users from existing data source and develop novel applications including data driven products based on that. Develop data models/solutions to solve practical problems based on advanced statistical modeling, data mining, and machine learning methods. Develop innovative approaches to solve problems when classical techniques fail. Collaborate with business partners and apply developed models to business.
Master or PhD degree in Statistics, Computer Science and Mathematics. Solid theoretical foundations in statistics, data mining and machine learning. Affluent practical experience in data modeling (5+ years’ experience preferred). Solid programming skills and proficient in at least one programming language, preferably R Proficient in HiveSQL. Experience with big data and Hadoop is a big plus. Strong business sense with strong data analysis techniques to innovative and practical approaches to complicated business problems. Strong communication and presentation skills. Creative, willing to take on challenges. Team work spirit: honest, diligent, and rigorous."	 - Melbourne VIC	Alibaba Cloud Data Scientist MelbourneAlibaba16 reviews - Melbourne VIC	Alibaba Cloud Data Scientist Melbourne
155	"Data Scientist – Technology & Innovation
Location: Melbourne

Welcome to This Australian Life.

From the millions of Australians we protect, to those that make it happen every day at
TAL, people really are what we’re all about.

TAL needs people who represent our diverse Australian community. People who embrace our spirit and inspire confidence in their colleagues, customers and community. People who are passionate about making the most of the choices and options we provide. People who do what’s right, aim high, and work smart.

About the Opportunity
TAL’s Technology & Innovation team are charged with the exciting remit of exploring innovation in Australian Life Insurance and adjacent industries. This role represents an exciting challenge and career opportunity for a data scientist keen to make their mark using data led decision making and modelling to catalyse industry disruption. You will work as a key member in a cross-functional, multi-disciplinary data project team with responsibility for undertaking a range of research and analytical activities leveraging all available data assets.

To be successful we are looking for the following skills and experience:
Ability to communicate complex quantitative analysis in a clear, precise and actionable manner.
Experience engaging and influencing stakeholders.Conversant in Python and/or R.
Practical experience using contemporary machine learning frameworks, such as scikit-learn, pytorch and/or tensorflow.
Ability to creatively engineer features for machine learning problems.
Conversant in relational databases and SQL.
Ability to query, manipulate and analyse large datasets.
Ability to understand and solve loosely defined problems, find answers and actionable insights to inform product development decisions.
Relevant qualification in Mathematics, Computer Science or a related quantitative discipline.
Additional valued capabilities include:
Previous experience solving real world NLP problems.
Experience developing Machine Learning pipelines and implementing them in production.
Familiarity with cloud computing platforms such as AWS or Azure.
Comfortable with Docker, airflow, SSH, Ubuntu and bash.

Work is a big part of this Australian life, and we work hard to make it one of the best parts. We want our employees to work in ways that suits their life and the nature of their role, so they feel able to meet their work life commitments and support their wellbeing. Everyone’s welcome to work for us – regardless of their age, ethnicity, religion, sexual orientation, gender identity, intersex status or any disabilities they might be living with.

We know it’s the people we work with and experiences we share that make work meaningful and fulfilling, and we’d love for you to be part of it."	 - Melbourne VIC	Data Scientist - Customer & InnovationTAL - Melbourne VIC	Data Scientist - Customer & Innovation
156	"Description
We're looking for an experienced Data Scientist to join our flagship data quality and targeting business, think big data marketing solutions. This is a pinnacle role in the wider product management team, they're innovative, passionate, high performing and fun to work with. Utilise your programming skills to help Experian develop new products and take advantage of the latest technologies. Successful candidates will enjoy working with large volumes of data in an innovative and fast paced environment.

We are looking for someone who;
Has an inquiring mind and a passion for dataInterest in innovation and the use of technology to find solutionsIntermediate to Advanced programming skills especially in either R or PythonKnowledge of modelling and statisticsMachine learning experienceExperience with data visualisation tools including but not limited to TableauStrong geo-spatial background with knowledge of tools such as Alteryx and ArcGISDatabase programming including SQL and other data technologiesAnalytical and problem-solving capabilitiesGeneral understanding of industry techniques, including digital advertising platform, search engine optimisation, conversion optimisation and social networking and marketingStrong oral and written communication skillsTertiary level - could be maths, science, computer science, engineering

Essential Duties and Responsibilities
Develop ConsumerView modelsEnsure all models are updated regularlyBe across the methodology to create Mosaic and custom MosaicCreate custom audiences for DAS and other advertising platformsAssist with the ongoing development of ConsumerView
Knowledge, Experience & Qualifications
Knowledge, experience and qualifications

Knowledge
Intermediate to Advanced programming skills especially in either R or PythonUnderstanding of predictive modelling/machine learningDatabase programming and design
Experience
Analytical and problem-solving capabilitiesStrong oral and written communication skills
Qualifications
Tertiary level - could be maths, science, computer science, engineeringThese and other degrees with analytical/technical components"	 - Melbourne VIC	Data ScientistEXPERIAN329 reviews - Melbourne VIC	Data Scientist
157	"Melbourne,Victoria,Australia BEH7X3
Boeing is the world's largest aerospace company and leading manufacturer of commercial airplanes and defense, space and security systems. We are engineers and technicians. Skilled scientists and thinkers. Bold innovators and dreamers. Join us, and you can build something better for yourself, for our customers and for the world.
We are looking for a Data Scientist to support the Australian region, Information Technology and Data Analytics (IT&DA) organisation. The organisational scope supports Boeing businesses in Australia and associated enterprise functions: Commercial and Government Aftermarket Services; Engineering, Manufacturing, Quality, Safety, Supply Chain, HR, Finance, and Corporate functions.
At Boeing, we are already making a difference across the industry using data analytics to deliver strong, rich and safer product experience to our commercial and government customers. We are expanding and growing in all areas in the frontier of aerospace industry. We are working on projects that utilize the latest techniques in Machine Learning (including Deep Learning, Neural network), Natural Language Processing and deep infrastructure. We’ve already been joined by some of the best minds, and we’re looking for talented Data Scientists that have applied experience in the field to join our team.
Data scientists will have opportunities to work on projects with highest priority to the business. Paramount to success in this role is the ability to determine, define and deploy predictive/prescriptive analytic solutions to identify and perform root cause analysis on adverse trends, by choosing best fit methods, defining algorithms, and validating and deploying models to achieve results.
Requirements
This role will lead the businesses to strategic outcomes, partner with all functions across the business, applying their strong data analytics skills to drive decision making for better outcomes.
This role requires a close cross functional collaboration across multiple teams including analytics, product management, and operations to drive product development.
Assesses current reporting for best fit, combine best practices and business expertise to deliver efficient and scalable business analytics to improve business productivity and business to desired outcomes.
Passionate about working with large and complex unstructured and structured data sets. Utilizing that large amounts of data to identify information that can be used for predictive analytics to drive business outcomes.
Discover insights that enable senior management to make strategic decisions and address business challenges and lead the business to deliver to these.
Strong communication and interpersonal skills. You should be able to work across functions and effectively present, recommend and communicate a position by demonstrating its value and tradeoffs.
Able to self-direct and succeed with minimal guidance.
Comfortable conducting design, algorithm, and code reviews.
Ability and passion to train and educate others on the skill of data analytics
Bachelor’s degree in a computer, engineering or quantitative discipline (e.g., statistics, operations research, bioinformatics, economics, computational biology, computer science, mathematics, physics, electrical engineering, industrial engineering).
3+ years of relevant work experience in data analysis or related field. (e.g., statistician, data analyst, data scientist, computational biologist, physicist, bioinformatician)
Experience with statistical software (e.g., R, Octave, Julia, MATLAB, pandas) and database languages (e.g., SQL).
Experience in Natural Language Understanding, Computer Vision, Machine Learning, Algorithmic Foundations of Optimization, Data Mining or Machine Intelligence (Artificial Intelligence).
Experience in working with large, complex and disparate data sources.
Excellent verbal and written communication skills, with the ability to explain analytical methodologies simply and thoroughly.
Excellent collaboration & influencing skills and a proven ability to work with stakeholders to deliver on outcomes
High attention to detail for data integrity and the ability to track down data inconsistencies.
Excellent critical thinking and problem-solving skills
Experience with and having the ability to quickly understand complex data sources and logic.
Proven track record of success working in dynamic environments with frequently changing business environments.
Finance background or previous experience working closely with a finance team is a requirement. Knowledge of SAP Record to Report and Procure to Pay (MM / WM / PP / FICO) an advantage.
Great interpersonal skills to create strong relationships and trust with senior stakeholders and the wider business.
Background of trend analysis and qualitative or statistical analysis & modeling
Boeing, we are committed to creating an inclusive and incident and injury free workplace, where employees can realise their career goals and make a positive contribution to Boeing's success. If this role is you and you're excited by the opportunity to be part of building something amazing, we welcome your application.
Yes, 10 % of the Time CIO, Information & Analytics Individual Contributor No No Standard Australia; Boeing Australia Holdings Proprietary Limited"	 - Melbourne VIC	Data ScientistBOEING5,846 reviews - Melbourne VICResponded to 75% or more applications in the past 30 days, typically within 1 day.	Data Scientist
158	"Giving you the platform to succeed:
Velrada are an award winning, best-in-class Microsoft Partner offering Business Advisory, Transformation and Microsoft Platform implementation services. Founded in 2010, Velrada has grown in just eight years to a global business, recognised by Microsoft as a leader in the Modern Workplace, Dynamics365, Azure and Data, IoT and AI solution sets.
Velrada maintains the flexibility and innovative culture of a start-up, combined with the scale, depth of capability and market credibility of an established player to attract both the best talent in the industry, and the leading adopters of Microsoft technology.

What we are looking for:
With a postgraduate degree in an analytical field and a background in the application of data science techniques to business problems, you will be a solutions focused Data Scientist. Reporting into our Practice Lead, you will be a major part of the practice going forward in a delivery and deployment role where you will work closely with, and be supported by, a team of Data Engineers and Business Intelligence specialists.
As well as your excellent technical and analytical skills, you will also display strong consulting skills with the ability to communicate complex concepts and describe their business value to non-technical business stakeholders.

This opportunity will suit those willing to be part of a very successful growth story and understand that being part of that story will require hard work and dedication.

Your experience and what you will do:
Work with clients to deliver Analytics solutions that support their strategic business objectives across a variety of Data Science, and Big Data technologies.
Primary accountability for ensuring Velradadelivers exceptional work on all Data Science engagements.
Development using Hadoop/Spark, Pythonand/or R and SQL both in the MS Azure cloud and on-premise.
The ability to visualize the results in Power BI
Work withan exceptional team to deliver high quality Analytics and BI consulting and solution engagements under the guidance of our National Data Science Lead.
Contribute to the development of IPand best practices within Velrada and ensure it remains current with regard to predictive analytics, machine learning and other emerging/maturing tools and approaches, with a specific focus on how these can be applied in our clients’ organizational context to deliver business value.
Provide expertise to clientsand mentoring for more junior resources who are aligned to the Insights and Analytics capability.
Contribute to Velradainternal business planning and organizational development activities as requested.
Preferred Skills:
Recent track record of delivering solutions as a Data Scientist across a variety of industries and projects.
Ability to translate Data Science principles and findings to non-technical client stakeholders.
Experience documenting and defining the non-technical elements of Information Architectures.
Experience working with git.and bash/Linux.
An understanding of statistical theory, frequentistand/or Bayesian paradigms.
Salary is negotiable with a defined career path in place.

Next steps
You can apply via this advert or by contacting the recruitment team on the details provided.
Check out our website for more information and details on our organization then please do have a look at our website – www.velrada.com

Velrada do not accept unsolicited CV’s from recruitment agents."	 - Melbourne VIC	Data ScientistVelrada - Melbourne VIC	Data Scientist
159	"The Opportunity:

We have a 12 month fixed term opportunity for a Scientist - Translational Research to join the Cell Biology and Physiology Department at CSL's Bio21 Research Facility. In this position, you will be responsible for assisting in the identification and evaluation of disease and drug-associated biomarkers to support the development of novel protein-based therapeutics, such as recombinant antibodies that target and modulate the function of specific cell types.
The role involves development and analysis of key genetic and biological assays ( in vitro or ex vivo ) to support identification of biomarkers and development of biomarker assays, mechanism of action studies, and evaluation of therapeutic candidates in human clinical samples. Moreover, the role involves analysis of genomic and expression data to support target validation.

Key Responsibilities Include:
Assist in the development and performance of protein-based assays (e.g. flow cytometry, ELISA) to evaluate effector functions (e.g. cytokine production, cell death, cell proliferation, cell signalling) of various leukocytes as informed by genetic and biomarker discovery
Perform pathway analysis for identification of potential biomarkers
Perform data analysis for evaluation of disease-associated, drug-associated and expression-associated genetic polymorphisms
Perform analysis using genomics data from biobanks
Assist in the performance of in vitro screening strategies including transcriptomic and proteomics analysis of blood and tissue to identify potential biomarkers of disease and/or drug response
Work with human cell populations in vitro to evaluate efficacy of therapeutic candidates
Assist senior personnel in the laboratory to carry out experiments
Assist in the preparation of experimental protocols, scientific reports and SOPs as required
Provide research support for ongoing clinical trials to evaluate efficacy of therapeutic candidates
Present scientific data at Project Team and Departmental level
Perform data analysis using routine spreadsheet and graphing platforms and flow
Cytometry software (Prism, Excel, FlowJo, BD Diva)
Organization and maintenance of laboratory
Comply with HS&E guidelines as appropriate

Skills and Experience Required:
Tertiary degree in Biological Sciences with at least 3 years of experience in molecular biology, immunology, genetics or equivalent discipline in industry and/or academia (or equivalent)
Experience in cell culture and aseptic technique
Experience in human cell biology techniques
Experience in the establishment of biological assays
Experience with molecular biology and DNA/RNA handling
Experience in flow cytometry
Experience in immunological techniques for assessing leukocyte function in vitro
Experience in use of programs to analyse genomics and/or expression data such as IPA, MetaCore, Oncomine, Panther, DAVID, Perseus, GSEA, PLINK, Haploview
Experience in the use of data from biobanks
Experience in writing scientific reports
Good communication and networking skills
Good computer skills: proficiency in the use of Microsoft Office programs and flow cytometry analysis programs
Knowledge of GLP

How to Apply:
Applications must address the selection criteria above and include a current CV and covering letter.
Applications close Sunday, October 21st, 2018
Employment screening, including criminal history, medical assessment, confirmation of experience and stated qualifications, Australian working rights and other relevant checks form part of the candidate suitability


Worker Type:
Employee


Worker Sub Type:
Fixed Term (Fixed Term)"	 - Parkville VIC	Scientist - Translational ResearchCSL Behring165 reviews - Parkville VIC	Scientist - Translational Research
160	About the role The Big Data Test Engineer will expand and optimise our clients’ data and data pipeline architecture, as well as optimise their data flow and collection for cross functional teams.Responsibilities include: End-to-end testing of the Hadoop data lake solution including functional, system integration, regression, reconciliation and validation testingWrite and execute simple and complex test cases in Big Data implementationBuild a robust and efficient test framework for testing the ingestion, processing, transformation, storage and consumption layers in the Big Data architectureAssemble large, complex test data sets that meet functional / non-functional testing requirementsEscalate key testing issues and provide feedback to the development team and other stakeholdersWork with stakeholders including product owner, data engineers, architect and design teams to provide inputs to the testing processes in SIT and UAT in line with industry best practices.About the Candidate They will need the ability to optimise data systems and build them from the ground up. They will support software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects.Essential Skills and Experience: Python, Java, Spark, NiFi, Kafka, Hbase, HiveProven working experience as Big Data engineer or tester for 2+ years.Experience in test driven Big Data development and test automation.Experience in testing the streaming technologies like NiFi, Kafka, etc. with industry standard Big data testing tools.Ability to write and execute simple and complex test cases in Big Data implementation.Experience in working on Big data technologies and concepts such as HDFS, Hive, NiFi, Spark, Spark streaming and NoSQL DB like HBase etc.Ability to interpret the development code and transformation logic to form valid test cases.Experience in one or more of Java, Scala, Python and Shell Scripting.Ability to work in team in diverse/ multiple stakeholder environmentExperience in working in a fast-paced Agile environmentBS in Computer Science, Statistics, Informatics, Information Systems or another quantitative fieldPreferable skills and experienceExperience in building testing framework for enterprise data lake is highly desirableHands on development in the areas of building data pipelines in NiFi, Kafka, Spark Streaming, etc.Knowledge of CI/CD pipeline.What client can offer you? Formal training with industry recognized certificationsThe ability to interact with peers in a sharing and inclusive communityExciting and challenging projectsA well-structured and tailored career frameworkA culture of collaboration and recognitionExcellent remunerationThis is a great role, where you will work alongside highly regarded consultants in a busy project environment.If the above sounds like you and you are ready to commence your next challenge, please apply nowJob Type: Contract	 - Melbourne VIC	Big Data TesterIT Alliance Australia - Melbourne VICContract	Big Data Tester
