	description	location	salary	title
361	"Job Description:About IntellifyIntellify is a data science and machine learning consultancy who helps our customers to increase their growth, operate more efficiently and build competitive advantage. Our team consists of leading data scientists, machine learning engineers and consultants that extensively use advanced (statistical) machine learning and optimisation techniques to create state-of-the-art solutions for business. As an emerging AWS consulting partner, we have the ability to scale our solution to any needs through their cloud platform.About the OpportunityAs we are growing at a rapid speed, we are seeking a senior full-time data scientist/machine learning engineer who has extensive experience in data science, machine learning and/or statistical modelling as well as programming. As part of this role, you will supervise and manage junior data scientists, and work on development to build data science solutions using a combination of the latest technologies and business strategies.With a startup culture and applying cutting-edge technology to real-world business problems, you have the opportunity to drive impact at some of Australia’s leading startups and enterprises as well as to learn and grow within a team of like-minded data scientists. Our client problems have ranged from pricing, inventory and workforce optimisation to computer vision applied to radar data for predictive maintenance. The work is varied and challenging, and will require someone who is dynamic in their thinking as well as willing to explore and try new ideas.Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and improving atmosphere. We want to see you thrive professionally and personally as we create a leading data science, machine learning and AI company of the future.What we offerThis is a full-time permanent role. This role will provide a unique opportunity to work in a collaborative team and learn from experienced data scientists, so you can advance your knowledge and get hands-on experience with state-of-the-art machine learning methods. Our salaries are competitive, and we offer flexible working hours. We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn sessions, training courses and certifications, and an opportunity to be a core part of our data science and machine learning communities. Furthermore, we offer the following:1) 10 x paid days of professional development per year (attend/ speak @ conferences, undertake courses and certifications)2) $2,200 Toolkit allowance to go out and buy your own tech3) Profit sharing4) Work with high-profile clients5) A defined career path with your 1-1 mentor6) Great team culture7) Have an impact in a small team where there is no politics8) Flexible & inclusive work-environment9) Work closely with AWS using cutting edge cloud technologiesRequired Skills: A computer science, robotics, maths, statistics, physics or related degree (graduated Bachelors, MSc, PhD or last year MSc/PhD student)5+ years of applied industry machine learning, optimisation and/or statistics experienceStrong Python or R programming experience and related data science libraries (such as scikit-learn, Pandas, Tensorflow/Keras)Strong SQL database and code versioning (e.g., Git) skillsGood software engineering principlesProject management / team management experienceExperience with data visualisation tools or frameworks i.e. tableau, D3.js, ggplot2 etc.Desirable skills: Knowledge or experience of software engineering practicesKnowledge or experience on time series/product forecasting/recommender systemsKnowledge of deep learning/neural networksExperience working with web development technologiesExperience working with cloud technologies i.e. AWS / Microsoft / Google Cloud.Portfolio evidence of your previous work is appreciated (i.e. blog, github repository, conference presentations etc).How to ApplyIf you wish to take the next step in your career working and learning with the best in an innovative data science company, please click on ""Apply now"" and include:Your CVYour portfolio of projects (eg GitHub, blog site etc)Desired salaryYour availabilityBrief details (3-4 sentences) of either:A machine learning or data science project you have developed or delivered previously; orPrevious team leadership experience, where you worked with a team to deliver a project.We are looking forward to hearing from you.*** STRICTLY NO AGENCIES ***Please note that our Company Policy dictates direct recruitment only.Job Types: Full-time, Part-timeSalary: $120,000.00 to $160,000.00 /yearExperience:machine learning, optimisation and/or statistics: 3 years (Required)"	 - Sydney NSW	Senior Data Scientist/ Machine learning engineerIntellify - Sydney NSW$120,000 - $160,000 a year - Full-time, Part-time	Senior Data Scientist/ Machine learning engineer
362	"There has never been a more exciting time to be part of Domain Group, a dynamic digital media and technology services business and one of Australia's leading property destinations. We provide property advertising and media online, via mobile, social media and in magazines, and technology services to the real estate industry. The business is experiencing rapid growth in digital revenues and investing in all areas to drive future earnings growth. Domain offers a dynamic and innovative culture at the leading edge of digital media in Australia.
We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when selling their home with a broad mission and build data science and machine learning products to power the next stage of Domain's growth
As part of the Domain Group, you'll have the opportunity to work across all aspects of our property ecosystem, from listing and agent, to consumer behavior, email, and sales data.
What you'll do:
Build scalable models that analyse and extract information from disparate public sources
Develop and improve machine learning algorithms that drive our data pipeline operation
Leverage advanced statistical modeling to improve domain products
Research and implement the latest advances in the world of data
Proven ability to collaboratively and maturely work on a team
Curious with an aptitude to quickly learn
Experience:
At least 3-5 years of industry experience in data science
2+ years of professional experience with Natural Language Processing and/or Image Processing
Thorough knowledge of machine learning modeling processes
Thorough knowledge of supervised and unsupervised learning algorithms
Thorough knowledge of Natural Language Processing
Experience with implementation of Data Systems
Fluency in UNIX, SQL, Python and/or R
Good software engineering principles
Education/Qualifications:
MS or PhD degree in Computer Science, Mathematics, Statistics, Quantitative Psychology or related field.
Portfolio evidence of previous work is appreciated (i.e. blog, GitHub repository, journal/conference publications etc).
So...what happens next?
Once we've received your application we'll give it the attention it deserves and you'll hear from us either way. If you have the right experience, one of our Recruitment Consultants will give you a call (so make sure you keep your phone handy!) and from there we'll support you through the interview process.

Interested?
Go on then, click apply, we'd love to see your application!

A little note to recruitment agencies: We have a superstar recruitment team who are pretty good at filling our own roles, we know you're great at what you do to, but there's no need to get in touch! :)"	 - Sydney NSW	Lead Data ScientistDomain Group6 reviews - Sydney NSWFull-time, Permanent	Lead Data Scientist
363	Job SummaryWe are seeking to fill an extremely varied and fun role for an experienced Administrator or Personal/Team Assistant who knows what it takes to be an extension of the management team.Key attributes:You will be well presented and have the confidence to deal with a variety of stakeholders, whilst managing multiple tasks in a dynamic and fun environment.You will have outstanding communication skills and a positive attitude who is adaptableYou will have an outstanding ability to show initiative and prioritize work accordinglyKey Responsibilities:You will be the glue for the global team (~30 people) enabling us to work easily together and help to inspire each other towards achieving HIVERY’s goals to help companies leverage AIWork closely with the CEO and Leadership teamYou will create and edit board presentations, communications material and support on special projects as needed, and ensure the CEO and/or team is briefed/ updatedYou will provide general administrative support for the team, including but not limited to:*Organizing travel for a number of staffCoordinating team members and meetingsPreparing expense claims as requiredArchiving and filingOrdering office supplies as requiredYou will help drive cultural and fun team events including monthly Buzz (Townhall), birthdays, and more!Required Experience, Skills and QualificationsMinimum Requirements:Advanced Microsoft Office skills are crucial to be considered for this role (Gmail, Google Docs - Slides/PowerPoint, and Sheets/Excel)2+ years experience supporting senior management in an administrative roleStrong interpersonal skillsExcellent time management and prioritization skillsAbility to multitask/manage multiple projectsIndependent problem solverHighly regardedBachelor DegreeCompany ProfileWorking in cool space in Surry Hills, HIVERY is a fast-growing global artificial intelligence company headquartered in Sydney. Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome.Job Type: Full-timeSalary: $60,000.00 to $85,000.00 /yearExperience:Administration Management: 2 years (Preferred)	 - Sydney NSW	Team Assistant with AI companyHIVERY - Sydney NSW$60,000 - $85,000 a year	Team Assistant with AI company
364	"Deloitte is the world’s largest professional service firm, with one of the largest and most experienced Analytics, Information Management (AIM) & Data Automation practices. We have 400+ specialised consultants in Australia and more than 6,000 practitioners in the Deloitte global network.
With the ever increasing complexity and volume of data, the rise of in-memory, high performance computing, data discovery and visualisation solutions and the convergence of Big Data and Advanced Analytics, organisations are faced with increasing number of choices to ensure they are able to exploit their data assets for maximum advantage. Deloitte is able to draw from its vast global experience delivering complex data driven solutions for our clients across the full spectrum of technology and business domains to provide the right strategic advice to help an organisation respond effectively to these changes – as well as partner with our clients to execute on our recommendations.
About the Role
Do you want to be a part of how we help companies utilise their valuable data resources through effective use of the right technology, backed by a clear vision and strong executive sponsorship? Do you want to be part of an award winning team that provides clients with a visionary, yet balanced and pragmatic approach to automating concepts and tools to improve productivity and performance?
This is an opportunity to harness emerging technologies and analytical methodologies to solve real world problems. You will be part of a close, collaborative team that identifies and builds solutions that are practical as well as visionary, and that make an impact that matters.
We are looking for people who love data and want to solve problems with insight. Whether you call yourself a data scientist, analytics nerd or builder of predictive models. We want to hear from you if you are genuinely passionate about this area and have some applied experience.
You will be responsible for delivering insights through a range of corporate data sources through the application of analytics, data mining, Big Data and real-time decision making techniques and applications using various data management, analytics & data visualization tools.
About You
You’ll bring experience in one or more of the following competencies and enabling technologies
A strong background in applying mathematical and analytics approaches and methodologies to identifying complex relationships in data
Ability to communicate technical requirements and outputs in a clear and concise manner
A structured, logical and solution-oriented design mindset
Ability to work autonomously and with minimal oversight
Ability to demonstrate initiative and ownership in the completion of tasks
A demonstrable interest and passion for exploring new data/analytics concepts, applications and innovations (e.g. Cognitive, Robotics & Automate, AI, IoT etc.)
Some experience using a range of scripting languages – (e.g. Python, R, SQL etc.)
About Us: Deloitte Culture
Join a high performing culture of talented people, who are highly motivated and passionate about delivering impactful analytics solutions and insight. We are innovative and different because YOU are… we pride ourselves on our team of diverse, high performing Deloitte Professionals who are talented, supportive, inclusive and social – and who are at the heart of our success. Our aim is to ensure that all our people feel comfortable to bring their whole selves to work, and as a result, build a workplace that encourages the true spirit of 'And different'.
From day one at our firm you’ll be considered part of the Deloitte community and our development and career progression framework will help you develop the skills and capabilities that will set you up to succeed – in every sense of the word. At Deloitte, we assume that you perform other roles within your life…you could be a student, a teacher, a passionate hobbyist and a caring family member. We recognise the importance of balance and embrace agility, understanding that this means different things to each and every one of our employees.
If you have questions regarding this role, the Talent Acquisition Team is available to have a confidential discussion. Please contact Aditi Aggarwal via the Our Recruiters section on our careers website."	 - Sydney NSW	EXPRESSION OF INTEREST - Data & Analytics - NationalDeloitte7,160 reviews - Sydney NSW	EXPRESSION OF INTEREST - Data & Analytics - National
365	"Data Scientist
Greenfield Data Science roles in this fast growing team
Pride yourself in delivering customer insights that drive strategic change for Australia’s leading brands
Permanent roles based at our Mascot Campus

Working in Qantas Loyalty is exciting and fast moving. Our agile way of working enables us to be responsive to business requirements and helps us to deliver exceptional outcomes.

Our rapidly growing data science function supports a range of key strategic initiatives focused on helping us optimise customer communications; experience and product development. As such, we are hiring candidates ideally with varied experience levels in customer analytics and insights, but are open to speaking to candidates with business forecasting and/or revenue management background.

The scope of the data scientist role consists of leveraging our large customer data asset and build data science processes to enable the development of enhanced understanding of customers’ behaviours and needs, and using this to identify and pursue opportunities for growing customer engagement and profitability.

What you’ll bring to the role:
Preferably post-graduate qualifications in statistics, mathematics, or a related discipline
Proven experience of applying data science techniques within a commercial environment to consistently drive towards delivery of strategic goals
A deep understanding of and experience in statistics modelling using R and/or Python
Significant experience working with large and complex customer databases and applying machine learning to solve business problems
Strong SQL skills, and an ability to extract, manipulate and extract insights from large volumes of data
The ability to think pragmatically, critically and commercially and apply your strong technical skillset to real world problems
Working closely with colleagues across marketing, commercial and IT to drive successful outcomes
Proactive and passionate about identifying opportunities and driving change
The ability to work in a fast and agile manner

We are looking for someone who has a start-up mindset, enjoys a high degree of autonomy, and most of all a bias for getting things done.

Qantas is an equal opportunity employer, so by coming to work for us, you’ll be part of an organisation that encourages diversity, supports charities and environmental initiatives. We encourage Aboriginal and Torres Strait Islander, and people of all backgrounds to apply. If you have any support or access requirements, we encourage you to advise us at time of application.

If you’re ready to step into a culture that will challenge and excite you, submit an application and let’s explore how we go places together.

Applications close 24th October"	 - Sydney NSW	Data ScientistQantas Airways Limited296 reviews - Sydney NSW	Data Scientist
366	We are seeking a data scientist/machine learning engineer who has experience in machine learning and/or statistical modelling, optimisation and programming for an opportunity to make an impact in a leading startup.About IntellifyIntellify is a data science, machine learning and artificial intelligence consulting company who helps our customers to increase growth, operate more efficiently and build competitive advantage. Our team consists of leading data scientists, machine learning engineers and product developers that extensively use advanced (statistical) machine learning and optimisation techniques to create state-of-the-art solutions for business needs.About the OpportunityAs we are growing at rapid speed, we are seeking a full-time data scientist/machine learning engineer who has extensive experience in data science, machine learning and/or statistical modelling and programming. As part of this role, you will be mentored by senior data scientists and help develop and build data science solutions using a combination of the latest technologies and business strategies.With a startup culture and applying cutting-edge technology to real-world business problems, you have the opportunity to drive impact at some of Australia’s leading startups and enterprises as well as to learn and grow within a team. Our client problems have ranged from pricing, inventory and workforce optimisation to computer vision applied to radar data for predictive maintenance. The work is varied and challenging, and will require someone who is dynamic in their thinking as well as willing to explore and try new ideas. We want to see you thrive professionally and personally as we create a leading data science, machine learning and AI company of the future.Required Skills: A computer science, robotics, maths, statistics, physics or related degree (Graduated Bachelors, MSc, PhD or last year MSc/PhD student)Applied machine learning/statistics experienceStrong Python or R programming experience and related data science libraries (such as scikit-learn, Pandas, Tensorflow/Keras)Have experience or are comfortable extracting data from SQL databases and using code versioning (e.g., Git)Basic software engineering principlesExperience with data visualisation tools or frameworks i.e. tableau, D3.js, ggplot2 etcDesirable Skills: Knowledge or experience of software engineering practicesKnowledge or experience on time series/product forecasting/recommender systemsKnowledge of deep learning/neural networksExperience working with web development technologiesExperience working with cloud technologies i.e. AWS / Microsoft / Google Cloud*Portfolio evidence of your previous work is appreciated (i.e. blog, github repository, conference presentations etc.)Job DetailsThis is a full-time permanent role. This role will provide a unique opportunity to work in a collaborative team and learn from experienced data scientists, so you can advance your knowledge and get hands-on experience with state-of-the-art machine learning methods. Our salaries are competitive, and we offer flexible working hours.We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn sessions, training courses and certifications, and an opportunity to be a core part of our data science and machine learning communities.To Apply: If you wish to take the next step in your career working and learning with the best, in an innovative data science company, please apply with:Your CVCover letter detailing:Your portfolio of projects (eg GitHub, blog site etc)Desired salaryBrief details (3-4 sentences) ofa machine learning or data science project you have developed or delivered previously.We are looking forward to hearing from you.The Intellify team.Job Type: Full-timeSalary: $80,000.00 to $100,000.00 /yearExperience:Machine Learning: 1 year (Preferred)Location:Sydney NSW (Required)	 - Sydney NSW	Junior data scientist/machine learning engineerIntellify - Sydney NSW$80,000 - $100,000 a year	Junior data scientist/machine learning engineer
367	"Overview of job
Are you a data or programming wizard looking to kick-start your career? Ikon is the perfect place to explore your passion for turning marketing data into insight and unlocking data-driven growth opportunities. We are a top-tier marketing communications agency with a client-base of data-rich, blue-chip organisations that includes Commonwealth Bank, Bankwest, nib insurance, Pfizer, Ladbrokes and many others.
If you’re a recent graduate with a relevant qualification (or if you are finishing off your degree this year) and are interested in forging your career in the media/ marketing industry, then this may be the role for you. We are seeking a motivated and passionate candidate with degree-level training in either:
A strong quantitative discipline (e.g. Mathematics, Statistics, Actuarial Studies, Econometrics or Data Science)
Programming (Specifically SQL and Python Programming).
Although this role is a full time position we are open to candidates that are currently finishing their university studies and may need to start in a part time capacity to transition into full time employment once university is completed. We are also open to candidates who have up to one year’s industry experience.

Reporting of the role
This role reports to Matthew Cranley (Data Science Manager, Ikon Sydney).

3 best things about the job:
You’ll work in a dynamic media environment and learn your craft on a broad range of blue-chip, data-rich clients.
You’ll be given a high degree of responsibility early-on for constructing and maintaining SQL-based information systems and Tableau dashboards.
You’ll be given opportunities to transform and automate data systems, unlock business growth opportunities for clients, and provide invaluable insight.

Measures of success
In three months:
Develop an understanding of the Ikon business and our key differentiators in market
Develop an understanding of our clients engaging with the Data Science team
Develop relationships with your team and peers in the Ikon family
Develop an understanding of key data systems and ETL processes.
In six months:
Update (including data ETL), validate and publish Tableau dashboards consistent with firm deadlines.
Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data.
In 12 months:
Design, build and maintain marketing dashboards through Tableau for clients and internal Ikon stakeholders.
Manage the extraction, transformation and loading of data into SQL and other information systems.
Amend and evolve existing data management systems and dashboards to meet the changing needs of clients.
Complete ad-hoc analysis and data mining as required.

What you will need:
Strong academic background in either a quantitative field (e.g. Maths/ Stats) or Programming (SQL and Python).
Excellent attention to detail and a passion for excellence.
A keen interest to learn, develop and grow professionally.
Open to honest feedback – both good and bad.
Challenge how it’s always been done. Be different in every interaction
Mindset of making work fun. If it’s starting to feel like a job, then change something. Surprise us. Surprise yourself.

Nice to have:
Whilst not essential, experience with one or more of the following technologies would be advantageous:
Tableau
Google Analytics
Google BigQuery
Adobe Analytics
Hadoop/ Hive
R-Studio

About Ikon Communications
Ikon is a full service communications agency with over $450m in billings across offices in Sydney, Melbourne, Brisbane, Adelaide and Auckland.
We have the breadth and depth of experience to create bespoke solutions for each and every client. For some, that might be a full suite of services from strategy, data analytics, creative and media. For others, it could simply be amplifying a marketing spend across search and social.
You can learn more about what it means to be an Ikonoclast by visiting our website below:
http://www.ikoncommunications.com.au/"	 - Sydney NSW	Ikon | Data ScientistIkon752 reviews - Sydney NSW	Ikon | Data Scientist
368	Abyss Solutions is a technology startup that is on the cutting edge of underwater asset inspection. We design and operate custom data gathering robots, and use machine learning and advanced data analytics to interpret the torrent of data that we collect.We are searching for a practically minded individual who is passionate about machine learning and data science to aid in the development, testing, and operation of new AI products.Your role will involve developing tools to automatically inspect, analyse and review a wide range of challenging field data. Your output will deliver invaluable analytics to a wide range of commercial clients.You’ll be working closely with a group of experienced Machine Learning engineers, guiding you towards development of our cutting-edge data products.About the Job: - Assist in the development, integration, and testing of ML algorithms and tools- Develop software for data manipulation, management and review- Contribute to development and delivery of commercial data products- Q4 2018 start - ideally 6 monthsYour Skills: - Enrolled in relevant degree, such as computer/data science- Experience with Python and Linux environment- Basic understanding of data science and machine learning (e.g. feature representation, classification, regression, model evaluation)- Some experience with computer vision- A natural tinkerer, problem solver, and enjoy working in a high-paced collaborative environmentJob Type: Internship	 - Sydney NSW	(Internship) Machine Learning/Data ScienceAbyss Solutions - Sydney NSWInternship	(Internship) Machine Learning/Data Science
369	"Eleven-time Webby award-winning Freelancer.com is the world's largest freelancing and crowdsourcing marketplace. We connect millions of employers to freelancers across the globe, and every day thousands of jobs are described, bid on, negotiated, and managed through our site.
We think it is pretty cool that our dataset details a real life economy, where work is undertaken in every area you can think of. From design, writing, data entry and software development; through to sales, marketing, accounting and legal services - even NASA uses us!
Freelancer's data science team is world class. We have a team of data scientists across three offices, with backgrounds in mathematics, physics, neuroscience, computer science, and more. We have data science infrastructure that runs a sophisticated dashboard and multi-variate testing framework.
You have a strong maths and/or stats background. You know how to take your code to O(log(n)), and when not to bother. You love to reach deep into a SQL dataset and pull out an interesting story. You dream in probability densities, not expectation values. You can smell a badly-designed experiment from a mile away.
If this sounds like you, you will love life as a data scientist at Freelancer. We are a data-driven company- data trumps opinions. Every new feature gets A/B tested and analysed with our bayesian methods. We use machine learning in many places across the company, from improving funnels with sophisticated predictors to fraud and spam detection.
You will work in a product team and sit at the core of the decision making process. You will scour our well-organised dataset for trends and potential opportunities, and be responsible for designing and analysing A/B tests. And from time to time, you will invent new and awesome ways to use our dataset to make the site better.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Requirements
Tertiary Degree in Maths, Stats, Physics, Computer Science, or other quantitative discipline. 1st class Honors are preferred, and MS or PhD a plus.
Excellent python, pandas, R, SQL and scripting.
Ability to process complex datasets and transform them into business decisions.
Understanding of Internet-scale systems (scalability into tens of millions of users).
Extensive knowledge and experience in statistics, machine learning and big data analytics a plus.
Proven experience as a data scientist or analyst
Experience in data mining
Understanding of machine-learning and operations research
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
Benefits
This won't be a cog-in-the-machine job; you will be joining a global technology company that is a meritocracy, so if you are looking to make a difference and be rewarded for your efforts, this is the place for you.
We also offer a fun atmosphere working with smart people in an awesome office with fully-stocked kitchens, social events, hackathons, and more.
For more information see www.freelancer.com/careers"	 - Sydney NSW	Data ScientistFreelancer.com141 reviews - Sydney NSW$65,000 - $110,000 a year	Data Scientist
370	The CompanyThis ASX 50 and Fortune 500 business is a market leader and household name in the retail, supply chain and marketing space. Despite being a company of large size and scale, it is known for its development of its team, its progressiveness, constant innovations and using data science to decisionsDue to continued growth in the Data Science team, an opportunity has arisen for an up and coming Data Scientist with a business mindset, someone who utilises Data Science to add value to the bottom line.The RoleReporting to the Senior Data Scientist, this Data Scientist you will be responsible for the development of data and advanced analytic products and models that drive commercial decisions for the business. This can range from sales, marketing, supply chain through to operations.Build and maintain advanced analytics data products and models using Machine Learning and Statistics to deliver insights and drive business decisionsMachine Learning techniques will involve both supervised and unsupervised learningPartner with stakeholders such as AI Engineers, Data Engineers and commercial managers to drive business growth and innovation in the tech spacePerform some visualisation of insights and tell the story to stakeholders.Your ProfileDegree qualified in a STEM disciplineData Science experience building Machine Learning models in a commercial environment where driving business outcomes is keyExtensive experience in R and/or Python and SQLExposure to distributed frameworks such as Hadoop and Spark are an advantage, not necessary thoughExperience working with large and complex data setsAbility to partner with stakeholders at all levels in a businessConfidence and conviction in presenting your findingsCuriosity to delve deeper into problems and find a solutionApplyIf this opportunity sounds like you, please click the Apply button quoting DS072.We specialise in the Data Science & Analytics, Software Engineering and Big Data space and we’ll be able to assist you. If this opportunity isn’t the right one, you can also contact us on www.datasii.com and we’ll be happy to help.Job Type: Full-timeSalary: $100,000.00 /yearExperience:Machine Learning in a commercial environment: 1 year (Required)R and/or Python, SQL: 1 year (Required)commercial data science: 1 year (Required)	 - Sydney NSW	Data Scientist - ASX50 and Fortune 500 CompanyDatasii - Sydney NSW$100,000 a year	Data Scientist - ASX50 and Fortune 500 Company
