	description	location	salary	title
591	"Would you like to work in a dynamic and challenging environment where you will be supported to reach your potential?

The role of the Insights & Reporting Analyst is to manage South Pacific above market reporting, ensuring End Market reports, data collection tools and dashboards are generated and delivered accurately and reflects the latest available market insights using advanced Excel (including VBA) skills to provide deeper understanding of End Market and competitor in market performance.
The role should support the South Pacific SP&I manager in successfully managing, uploading and maintaining volume inputs into BPC (Excel base reporting system) for the South Pacific Markets (Papua New Guinea, Fiji Islands, Solomon Islands and Samoa).
ii. Knowledge, Skills & Experience Required: Need to align with global competency
Bachelor’s degree in business or related discipline.
Advanced excel skills including VBA.
Background in statistical and quantitative analysis, preferably within an FMCG Marketing or Supply
Strong strategic analytical abilities - identify trends, risks and opportunities, and translate these into insightful and compelling recommendations.
Ability to effectively plan, organise and prioritise
Strong interpersonal and relationship building sklills
Ability to influence stakeholders and deliver cross functionally
Good Microsoft Office skills (Word & PowerPoint)
Experience in SQL is an added advantage
British American Tobacco is one of the world’s leading multinational companies, with brands sold in over 200 markets, made in 44 factories in 42 countries.
We are proud that we are consistently among the top 5 companies on the London Stock Exchange.
Our portfolio includes our world-famous Global Drive Brands – Dunhill, Kent, Lucky Strike, Pall Mall and Rothmans – along with many other leading international brands, such as Vogue, Peter Stuyvesant and State Express 555.
Alongside our traditional tobacco business, we are also developing products that offer consumers potentially less risky alternatives to regular cigarettes. Our Next Generation Products are already leading the way in the Industry of vapour and tobacco heating devices. We continue to develop a solid portfolio of consumer solutions which already include well known global brands like Vype, glo and Voke."	 - Sydney NSW	Insights and Reporting Analyst - SydneyBritish American Tobacco1,430 reviews - Sydney NSW	Insights and Reporting Analyst - Sydney
592	"A little about us:
There has never been a more exciting time to be part of Domain Group, a dynamic media and technology services business and one of Australia's leading property destinations. We provide property advertising and media online, via mobile, social media and in magazines, and technology services to the real estate industry. Our customers include real estate agencies, property buyers and sellers, property developers, financial institutions, retailers, media and government.
Used by millions of Australians, Domain's purpose is to inform, inspire and connect people throughout the property lifecycle. The business is experiencing rapid growth in digital revenues and investing across all areas to drive future earnings growth. Domain offers a dynamic and innovative culture at the leading edge of digital media in Australia.
Domain Group has recently gone through a separation process from Fairfax Media, and has become a separately listed company on the Australian Securities Exchange.
A lot about you:
As a Data Analyst in our SEO (search engine optimization) team, you will leverage your deep experience in data analysis and data mining to drive significant organic search traffic and user engagement growth for Domain Group's network of websites including Domain.com.au, CommercialRealEstate.com.au and Allhomes.com.au.
You will be someone who is enthusiastic and positive with a strong drive to learn new skills and a passion for learning SEO. You will be someone who thrives on working in a fast paced environment and a quick learner of new concepts.
Our industry-leading SEO team is the driving force for our business and maintains high standards and has exceeded performance goals each year.
Our success is dependent on our ability capture and convert qualified traffic from search engines like Google and Bing. Google is taking an AI-first approach company-wide, including their search algorithms, and we need to be on the front foot of these trends to continue our levels of growth and exceed our goals.
Your day to day will look something like this:
Create visualizations for specific organic search performance metrics and performance time series modelling and forecasting of our core SEO metrics. Write automated scripts to monitor and send alerts when significant changes occur outside of expected values.
Build data collection (from API's and websites), processing and analysis programs to help grow Domain's organic audience. This includes integrating with data sources such as keyword rankings, website link data, competitive data and website log files.
Uncover improvements in search engine crawl speed to quantify the time search engines spend crawling the site and the response that we served on each visit. This involves writing programs to analyse very large raw log files.
Capture high level goals and KPI metrics and integrate them with Google Data Studio and Tableau and set a data driven decision making example for the wider business.
You must enjoy working with large data sets and have a passion for spotting trends and insights along with a genuine curiosity about how search engines work with a focus on document retrieval. You will be responsible for deriving meaning from the data, and develop and promote a list of actions as a result of the analysis, plus any learnings on how to improve the collection and upkeep of our datasets.
You will be a critical cross-functional member of the SEO team that takes your data analyst skills and evaluates SEO opportunities that deliver business goals. You will act as a role model throughout our team by maintaining the highest professional standards, promoting data driven decision making, data analysis, creative thinking and pushing us to always be our best.
Skills and Qualifications we would love you to have:
Highly proficient in data analysis and presenting and communicating findings to technical and business stakeholders.
Experience in performing data analysis using SQL and (Python or R).
Experience parsing and cleansing unstructured datasets such as XML and HTML.
Some prior experience creating beautiful data visualisations using a tool such as Tableau.
Experience writing programs to collect, clean and analyse data from the web.
A proactive mindset in identifying opportunities where data science can be applied to SEO.
Experience analysing the results of A/B tests and experiments, providing recommendations for product rollout based on results and generating ideas for new experiments.
Knowledge of statistics and machine learning.
A basic understanding of how the web works and how crawlers/bots work.
A strong desire and curiosity to learn new tools, techniques and gain further knowledge in SEO and data science.
It would be extra special if you have:
Familiarity with Google Analytics, Google Search Console and Bing Webmaster Tools.
Previous experience supporting an SEO team or general knowledge of the search engine optimisation industry.
Knowledge of AWS products such as EC2 and S3.
Prior experience building production ETL pipelines.
Some prior experience working with or in a software development team.
Experience building R-Shiny applications.
Understanding of Git.
Knowledge of bash commands and scripting.
[default close copy script below]
Why you will love us:
We are certain you will love our brand new offices in Pyrmont. We have just opened a new level which has a zen space, gym and yoga studio. We also have a games room, ping pong table and comfy meeting spaces such as bean bags and the tree house. When you commence you will be given a choice of a Lenovo or Mac book laptop and you can take advantage of our cool sit-stand desks!
You will be part of and working closely with two awesome teams at Domain; the Data Team and the SEO Team. Both teams follow industry best practices and use modern tools and technologies. We have a great team culture that is both laid back (think t-shirts and shorts in summer) but hard working. There are very little barriers outside of your control to getting your job done at Domain, we have all the tools available to enable you to easily analyse billions of records in our datasets. If you need more compute, you can increase the size of your virtual machine/s yourself, you can use any ML or analytics AWS product available in the Sydney region. You have the power to spin up and spin down your own Snowflake data warehouse cluster of any size depending on the job at hand. You have access to some massive and interesting datasets at Domain across a wide range of businesses in the real estate industry.
So…what happens next?
We will give your application the attention it deserves and you will hear from us either way! If you have the right experience, one of our Recruitment Consultants will give you a call (so make sure you keep your phone handy!) and from there the interviews will commence!
Interested?
Go on then, click apply, we would love to see your application pop up!
A little note to recruitment agencies: We have this role covered; there is no need to get in touch :). We do not accept unsolicited agency resumes and Domain Group is not responsible for any fees related to unsolicited resumes. Thanks!"	 - Sydney NSW	Data AnalystDomain Group6 reviews - Sydney NSWFull-time, Permanent	Data Analyst
593	"Job Number: 20298
Position Title:
External Description:
Build your IT/Technology career with a data, technology and innovative market leader
Excellent training and development opportunities
Amazing company benefits and rewards
Are you passionate about technology and keen to learn and develop an IT career? Do you love a challenge? Are you a high achiever? Do you like dealing with people? If so.....we have a fantastic opportunity for you!

Your journey at Equifax is focused on helping you to become an IT professional, we have training workshops with experts and we offer you solid career plans tailored to your skills and where you want your career to go. We want to bring the best out in you and provide a comfortable environment.

Why apply for this opportunity and join Equifax?
Be part of a winning team and a great culture
Best in class on the job training
Ongoing development and career progression
Work for a multinational, award winning company


Day to day on the job learning includes:
Short and long-term solutions to information technology
Application Development and Infrastructure
Systems Architecture
Network Systems
Reviewing IT requirements and business processes like codes, tests, debugs and software solutions
Analyses, maintain, test and integrate application components
Build and maintain knowledge
Pro-actively source for and build relationships with other teams.

Simply put, the desired skills are:
A can do attitude
Passion for IT/Technology
Driven and passionate individual
Great interpersonal skills and a passion for people
Exceptional time management skills and be a committed and dedicated professional who will devote the time to fulfil position requirements
Ability to work in a team
Problem solver and quick learner
The ability to negotiate, persistence and decision-making skills
Attention to detail and the ability to create effective solutions.

A little bit about us

Equifax powers the financial future of individuals and organisations around the world. Using the combined strength of unique trusted data, technology and innovative analytics, Equifax has grown from a consumer credit company into a leading provider of insights and knowledge that helps its customers make informed decisions. The company organises, assimilates and analyses data on more than 820 million consumers and more than 91 million businesses worldwide, and its database includes employee data contributed from more than 6,600 employers. Customers are at the centre of everything we do.

Equifax is currently ranked 687 in top Fortune companies and earns more than US$3 billions annual revenue globally. Around the world, we have 10,300 talented employees working for Equifax and we are currently looking for university graduates to join Equifax.

Primary Location:
AUS-Sydney-90-Arthur

Function:
Function - IT Development and Client Services

Schedule:
Full time

City: Sydney
Location_formattedLocationLong: Sydney, New South Wales AU
State: New South Wales
Community / Marketing Title: Graduate Technical Analyst
Company Profile:
Requisition Number: J00071964
EEO Employer Verbiage: <p>Equifax is an Equal Employment Opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.</p>"	 - Sydney NSW	Graduate Technical AnalystEquifax528 reviews - Sydney NSW	Graduate Technical Analyst
594	"Expedia

HomeAway Business Analyst (Business Insights) Intern - Sydney

Have you ever had the opportunity to impact the lives of millions of people in a meaningful way and help them enjoy time away with their friends and families building memories?
That is what we do here at HomeAway. We are the leading vacation rental website in the world with more than 1.2 million properties listed. We have millions of visitors to our site per year and serve more than one million-page views per month. Our mission is to make every vacation rental in the world available to every traveller in the world through our online marketplace.

Do you want a chance to be hands on with some exciting projects that are having a business impact? If so, then HomeAway has an Internship opportunity available in our Business Insights team for a Product Analyst Intern. You will partner with our APAC team to analyze customer metrics to understand how well the products in our portfolio are performing then provide actionable insights for product changes. Actionable insights will derive from utilizing the scientific mindset to hypothesize, analyze, test and monitor processes that will drive HomeAway’s competitive edge in the market.

What you will do?
You will examine traffic, browsing, and purchase behaviours to develop a keen understanding of the customer experience, and subsequently provide recommendations for action to improve conversion.
Using a funnel view of the traveler booking journey, track and monitor key site metrics which impact conversion (Site visitors, device types, and marketing channels) as well as product changes impacting conversion (for example new features, bugs etc.)
Review and present insights from the customer and owner feedback data to identify improvement opportunities (conversion and revenue increases).
You will collaborate with Customer Experience and Marketing to understand trends in data, develop hypotheses and frame analyses to identify customer pain-points and corrective actions.
You will build a pipeline of local and global key product changes to increase bookings. We will present highlights from this during a quarterly product pitch process.
Build simple business cases using scientific approach (Hypothesis/Observations/Expected outcome) to influence Global Product Manager to run new A/B test or product features.
You will become an expert on the top local competitors and understand their traveler and owner products.
Versatility and willingness to learn new technologies on the job

Who are you?
Recent graduates, or students currently enrolled in their final year in a bachelor’s degree in business or analytical field.
You are creative and innovative thinker with a “can do” attitude.
You have an analytical mind, demonstrated strong attention to detail, and the ability translate technical insights into a narrative.
You have the ability to think strategically, to sequence and to prioritize actions to drive business results.
You have a strong business intuition and are passionate about eCommerce and travel.
Excellent communication skills (written and verbal), and very strong interpersonal skills.
Intermediate knowledge of Microsoft PowerPoint and Intermediate Excel skills (pivot tables).
Exposure to Tableau, SQL, Google Analytics or Adobe Analytics is beneficial

Why join us:
Expedia Group recognizes our success is dependent on the success of our people. We are the world's travel platform, made up of the most knowledgeable, passionate, and creative people in our business. Our brands recognize the power of travel to break down barriers and make people's lives better – that responsibility inspires us to be the place where exceptional people want to do their best work, and to provide them the tools to do so.

Whether you're applying to work in engineering or customer support, marketing or lodging supply, at Expedia Group we act as one team, working towards a common goal; to bring the world within reach. We relentlessly strive for better, but not at the cost of the customer. We act with humility and optimism, respecting ideas big and small. We value diversity and voices of all volumes. We are a global organization but keep our feet on the ground, so we can act fast and stay simple. Our teams also have the chance to give back on a local level and make a difference through our corporate social responsibility program, Expedia Cares.

If you have a hunger to make a difference with one of the most loved consumer brands in the world and to work in the dynamic travel industry, this is the job for you.

Our family of travel brands includes: Brand Expedia®, Hotels.com®, Expedia® Partner Solutions, Egencia®, trivago®, HomeAway®, Orbitz®, Travelocity®, Wotif®, lastminute.com.au®, ebookers®, CheapTickets®, Hotwire®, Classic Vacations®, Expedia® Media Solutions, CarRentals.com™, Expedia Local Expert®, Expedia® CruiseShipCenters®, SilverRail Technologies, Inc., ALICE and Traveldoo®.

#LI-RT1

Expedia is committed to creating an inclusive work environment with a diverse workforce.All qualified applicants will receive consideration for employment without regard to race, religion, gender, sexual orientation, national origin, disability or age."	 - Sydney NSW	Internship - Sydney - Business Analyst (Business Insights) Intern 2018Expedia631 reviews - Sydney NSWFull-time, Internship	Internship - Sydney - Business Analyst (Business Insights) Intern 2018
595	"Atlassian is in need of a passionate and dedicated Customer Analyst whose actionable business insights will enable us to have an even more focused conversations with our customers. Are you excited by the prospect of using your expertise to provide insights that will have a meaningful impact on complex customer and user experiences? Then we need you.

As part of our growing Customer Operations team, you will assist in driving our team's mission to improve customer engagement and loyalty. You are all about developing a deeper understanding of our customer base and infusing insights into the DNA of our product, marketing and leadership teams. Your strong analytics and statistical skills will allow us to continuously improve and execute on highly targeted and result oriented programs. Additionally your data engineering skills will aid you to come up with creative solutions when required to execute on our customer analytics roadmap.
In this role:
You will be working with our complex and large volume of data to understand trends and behaviors
You will bring leading campaign or customer analytics to our team and drive successful program outcomes using data led insights
You are to spearhead data discussions on all aspects of a campaign including test measurement framework, setting up success measures including return on investment and business outcome
You will conduct pre and post analysis and present compelling campaign and program-level results and actionable insights
You will develop positive relationships with our Marketing, Analytics and Customer teams to gain better understanding of customer journey, behaviour, and our products
On your first day, we'll expect that:
You have over 3 years of commercial experience under your belt and posses strong SQL experience (Teradata, Postgres, Presto, AWS Redshift etc)
You have a background in crafting test-and-learn campaigns and hypothesis testing
You are an expert in analytics and visualization tools such as Tableau and Qlikview, and have an excellent eye and attention to detail.
You are someone who enjoys being part of a high performing team and working in a fast paced environment with plenty of opportunities to learn and develop.
You infuse sense of humor and are collaborative and dynamic in your interactions with your stakeholders and your team and are able to juggle competing priorities and deliver on deadlines.
It's also great if:
You are experienced in at least one scripting language (Python, R, JS, etc)
You have worked on projects involving machine learning and statistical modeling in the past
You have some research experience, focusing on mixing qualitative and quantitative data
You have previously used S3, Hive and Athena
You hold a degree in analytics, economics, statistics, math, or a related field
More about our team

We're passionate about customer retention, yet we recognise that customer success is not something which one team can own; the entire lifecycle and customer journey shapes the long-term success of the customer with our offerings and services. Our team provides insights across all sources of customer data-enabling programs to improve client loyalty and engagement. Atlassian has an analytics DNA that runs deep through the company's core, giving us robust data to test our hypotheses; across marketing assets, product usage, purchasing & finance, support, loyalty and feedback. Critically, we collaborate with a wide range of teams in Atlassian to ultimately drive action and make customers widely successful with our products.

More about our benefits

Our offices are open, highly collaborative and yes, fun! To support you at work (and play) we offer some fantastic perks: ample time off to relax and recharge, flexible working options, five paid volunteer days a year to support your favourite cause, plenty of food and drinks (including our famous 'Charlie's bar'), ergonomic workstations with sit/stand desks, unique ShipIt days, a company paid trip after five years and more.

More about Atlassian

Software is changing the world, and we’re at the center of it all. With a customer list that reads like a who's who in tech, and a highly disruptive business model, we’re advancing the art of team collaboration with products like Jira Software, Confluence, Bitbucket, and Trello. Driven by honest values, an amazing culture, and consistent revenue growth, we’re out to unleash the potential of every team. From Amsterdam and Austin to Sydney and San Francisco, we’re looking for people who are powered by passion and eager to do the best work of their lives in a highly autonomous yet collaborative, no B.S. environment.

Additional Information

We believe that the unique contributions of all Atlassians is the driver of our success. To make sure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status.

All your information will be kept confidential according to EEO guidelines."	 - Sydney NSW	Customer Insights AnalystAtlassian11 reviews - Sydney NSW	Customer Insights Analyst
596	"Data Analyst position now vacant in our Data CoE!
Looking to work with advanced machine learning & AI analytics capability? There has never been a better time to join our Data and Analytics team. We see data as an unexpected frontier and a change to predict tomorrow. That’s why Optus is looking for Data Analysts with the right mindset, not just the right skillset, to help create the future of Optus.
The role
As Optus continues to push “beyond telco”, our focus on analytics has sharpened. We are seeking Data Analysts to be part of a new team of skilled data professionals to redefine how people consume content in Australia. You will have a chance to collaborate with Senior stakeholders across the business on high priority projects at the frontier of Data Analytics.
As a Data Analyst at Optus, you will:
Play with all the tools of the trade – from SAS, Teradata and Pega, to IBM, Tableau, Cloudera and Cognosis
Analyse trends, profiles, product and campaign performance
Translate key findings into game-changing experiences for our customers
Empower and engage our employees by using data and analytics to enable intelligent business decisions, understand and improve employee experiences
The perks
Optus is a place where we let you do you. We offer all kinds of benefits, such as:
Work collaboratively in an open, agile environment with flexible working hours and location
Discounts with over 400 companies Australia wide (Technology, Retail, Home, Fashion and more!)
Mobile & Internet discounts, Novated Car Leasing, and other Financial benefits
Onsite facilities at Macquarie Park such as a Gym, GP, Mini-Mart, Cafes
Training, Mentoring and further learning opportunities
Social events, social clubs and sports teams!
Regular visits by our various partners, such as mobile dentists, food trucks, charities, independent retailers and fruit vendors!
Staff busses to Epping and Wynyard, and back again
About you
You are a self-starter with a curious mind and collaborative attitude – unconventional backgrounds welcome.
Other preferred skills and experience include:
Mathematical and Statistical based background. Tertiary relevant qualifications are a bonus
Advanced in SQL and R Programming
Must have a good attitude towards learning new things, and have a success and ‘can do’ driven attitude
Ability to work in an autonomous environment. Sometimes you will be required to make decisions on your own and be comfortable with working independently
Advanced in BI Reporting tools such as Tableau and Cognos
About us
At Optus, we don’t sit back and let the future happen to us – we’re out there making it. By expanding into new technology and relentlessly improving every day, we’re working to create a better tomorrow for all Australians.
#LI-JN1

Optus believes in the strength of a vibrant, diverse and inclusive workforce where backgrounds, perspectives and life experiences of our people help us innovate and create strong connections with our customers.

Heads Up!
Due to the fast paced nature of our business, vacancy close dates may change, so make sure you apply today!"	 - Sydney NSW	Data Analyst - Insights & AnalyticsOptus155 reviews - Sydney NSW	Data Analyst - Insights & Analytics
597	"Add Value to Marketing and Customer Success through data insights
Permanent position: $80-90k base + super
Macquarie Park location
Customer Insights and Data Analyst

Add Value to Marketing and Customer Success for Leading Health Client

Permanent position: $80-90k base + super

Macquarie Park Location

Global health care and medical device company have a unique and exciting position within their Marketing and Customer Insights Team. You will be responsible for providing valuable customer insights through applying your experience in data analytics to feedback to sales and marketing teams to ensure high levels of customer success. You will use data from customer feedback, surveys, marketing and market engagement in order to provide high value insights to increase market penetration and increase levels of customer satisfaction. Not only is this role fun and one you can really make your own, but it also directly impacts the lives of their customers across the health sector around the world.

To be successful in this role you will need:

Superior analytical skills with the ability to take the initiative
Ability to effectively prioritise, manage and execute tasks
Strong written and oral communication skills - ability to communicate findings, actionable recommendations, and data limitations to stakeholders to facilitate data-driven decisions.
Data Analysis and Modelling
Stakeholder Management
Solve challenging problems
Ability to work with databases and large data sets
Ability to understand business processes and identify improvement opportunities
Build/maintain statistical business models

Your specific expertise needs to be in:

Microsoft SQL
Automation and Visualisation - Tableau, PowerBI, Excel
Data Modelling and manipulation in SQL
A people person which excellent communication and presentation skills.
A positive contributor that can provide insights into process improvements and marketing based on data analytics decision making.

This is a permanent position based in Macquarie Park offering a salary of $80-90k base + super (negotiable) plus company benefits such as discounted health care and employee card for discounts across a wide range of retailers.

If you think that you want to make a real impact for a leading company then APPLY NOW or call Martin on 0420 894 294 or martins@thenetworkit.com for a confidential chat."	 - Sydney NSW	Customer Insights and Data AnalystThe Network IT - Sydney NSW$80,000 - $90,000 a year	Customer Insights and Data Analyst
598	"Develop and deliver insights utilising robust analytical, data, modelling and segmentation methodologies. Bring your mix of business and technical skills, delivering meaningful and actionable insights and reports for a variety of audiences.
What’s the role?
Deliver meaningful and actionable insights
Present key insights around customer, marketing, business and risk applications to senior stakeholders and non-technical audiences
Manipulate and analyse large data sets
Comprehend overall business objectives, what we are trying to achieve and how to get there
Who are you?
Tertiary qualifications in relevant discipline such as Statistics, Data Science, Computer Science, Economics, Engineering, etc
2-3 years commercial experience within an analytics capacity, with strong commercial knowledge to solve key business problems such as driving sales, customer retention, and marketing optimisation
Proficiency in R, Python, SQL, and Tableau, with a strong foundation in data manipulation and statistical analysis/modelling
Ability to think critically, commercially and pragmatically, and apply your strong technical skill-set to business problems
Ability to articulate complex analytical requirements and findings into concise and actionable communications
Strong interpersonal skills, ability to collaborate and build solid working relationships
What’s in it for you?
Supportive and friendly environment. We encourage innovation, collaboration and creative thinking. Fun, fast-paced and excellent opportunities for growth and development.
Lucrative salary
Flexible working arrangements
Discounted health care
Employee discount with multiple brands including BMW, Qantas, Apple, Samsung etc
On-site gym and wellbeing centre
Who are we?
We are Australia’s number one and most influential media organisation with more than 150 prestige brands across news, sport and lifestyle. Each month more than 17 million Australians choose to consume news and information from our digital and print products – more than any other media group in Australia.
Where do I sign?
Apply now or for more information on careers at News Corp Australia visit www.newscorpaustralia.com/careers"	 - Sydney Central Business District NSW	Insights AnalystNews Corp Australia66 reviews - Sydney Central Business District NSWPermanent	Insights Analyst
599	"We know the world is getting faster and our days busier, so Macquarie is redesigning banking to power our clients to live their best life. To continue our growth we’re inviting innovative people with a passion for developing commercially focused analytical solutions to join our team.

We’re looking for the right people – people with a mindset who will thrive in and enhance our pioneering and world-class analytical capability. People who are passionate about data and want to make a difference to our business and customers.

You are passionate about technology, inspired by exploring and experimenting with the latest innovations to identify cutting edge practices to improve and add capabilities to our analytics and reporting ecosystem. You are comfortable in a fast-paced, agile environment and motivated by complex technical and business challenges. You are innovative in solving business problems, answering questions and looking at opportunities to optimise the business using data and analytics techniques.

You are skilled in any of the latest tools of the trade such as SQL, R, Python, Hadoop, Spark, or Tableau, Power BI etc. and eager to develop these further whilst adapting quickly to new technologies and techniques.

You are a self-starter, possessing initiative to proactively identify and resolve technical issues or opportunities, and relentless and passionate to get an impressive job done. You thrive in an environment where data is seen as an asset and are a master storyteller that can translate complex data into business terminology so that actions and plans can be clearly understood, applied and measured.

You are mission motivated, have a knack for finding solutions that reduce team effort and obsessed with streamlining both development and BAU operations. You have a Degree in relevant field, such as computer science, applied statistics or mathematics or a related quantitative discipline.

Banking and Financial Services Group comprises Macquarie's retail banking and financial services businesses, providing a diverse range of personal banking, wealth management and business banking products and services to retail customers, advisers, brokers and business clients.

Find out more about Macquarie careers at http://www.macquarie.com/careers.

Macquarie understands the importance of diversity and inclusion - our long history of success has come from being different. At Macquarie we value the innovation and creativity that diversity of thought brings. The one thing we all have in common is our focus on high performance. If you're capable, motivated and can deliver, we want you on our team.

We facilitate a range of flexible working arrangements within our teams. Talk to us about what flexibility is available."	 - Sydney NSW	Analytics & Reporting Insights AnalystsMacquarie Group Limited143 reviews - Sydney NSW	Analytics & Reporting Insights Analysts
600	"
Full time Permanent Role
Located in Sydney CBD Location
Exciting role within our Market Management Division

The Customer Insights Analyst is responsible for creating compelling insights, driving understanding of customer behaviours and helping Allianz improve customer experiences.
The position holder is responsible for helping stakeholders to make effective evidence-based decisions regarding Allianz customers and their interactions, through provision of interactive dashboards, presentations and recommendations.
Key Responsibilities


Provide regular analysis on Allianz customers
Develop data visualization of customer experiences, trends and behaviours
Partner with the business to identify and pursue opportunities based on available data and insights, interrogating data in detail whilst also maintaining sight of the broader strategic goals of the business
Use software such as SQL, SAS to access, transform, integrate and analyse customer data from across the enterprise
Apply experimental design approaches to test new ideas and gather evidence
Communicate insights to stakeholders in a clear and compelling way to support an understanding of key data and insights and the implications for product, channels and marketing
Make recommendations regarding how customer insights can be translated into specific customer campaigns, offers and experiences
Support and contribute to key analytics projects, including engaging with stakeholders to define and agree the project scope, milestones and deliverables
Contribute to the ongoing communication of progress for projects and key findings upwards and sidewards within the enterprise
Understand the different product constructs, how these generate revenue, costs and profit and how this is represented in the systems, data and business processes

To be successful in this role, the position holder must have:

Strong experience working with large and complex data sets
Strong communication and stakeholder engagement skills; acting as an internal consultant
A minimum 2 years' experience in a similar or related role
Experience with SAS, SQL or similar

"	 - Sydney NSW	Customer Insights AnalystAllianz88 reviews - Sydney NSWFull-time, Permanent	Customer Insights Analyst
