,title,revised_salary,rel_title,ranking,category,salary_level,state,suburb
17,Digital Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
21,Business Analyst,102500.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
32,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Mascot
34,Agile Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
36,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Darlinghurst
71,"MS BI Developer SSAS, SSRS, SSIS | Data Analyst",85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,SydneyCentralBusinessDistrict
72,Data Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
88,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
92,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
100,Product Owner and Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
101,Senior Data Scientist,130000.0,Data Scientist,Senior,Data ScientistSenior,high,NSW,Sydney
105,Graduate / Junior Data Analysts,73220.0,Data Analyst,Junior,Data AnalystJunior,low,NSW,Sydney
112,Assistant Business Analyst,57500.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Parramatta
145,"Business Analyst, Technical (SaaS)",105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
152,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
174,Senior Business Analyst - Big Data - Singapore,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
183,Senior Data Scientist,135000.0,Data Scientist,Senior,Data ScientistSenior,high,NSW,Sydney
186,Senior Business Analyst,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
190,HR Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
217,Technical Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,SydneyCentralBusinessDistrict
223,Technical Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
227,Data Analyst - Enterprise Data Transformation,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
237,Business Analyst (Clinical | Health),105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,NorthernBeaches
251,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
259,Claims Data Analyst - 12 Month Fixed Term Contract,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
264,"SAP Machine Learning Consultant / Data Scientist - Sydney, Melbourne or Japan",125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
268,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
297,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,NorthSydney
301,Data Scientist - Big Data Skills - Singapore,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
310,"Mid-Senior Business Analyst - EDW, BI and BPMN Experience",145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
311,Senior Business Analyst - NSW Health,211925.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,NorthernBeaches
321,data analyst/scientist (power bi/tableau),85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Mascot
341,Senior Business Analyst - Retail Banking,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
343,Senior Business Analyst,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
361,"Mid-Senior Business Analyst - EDW, BI and BPMN Experience",145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
408,"Senior Insights / Data Analyst | SQL / R/ Python, Client facing",125000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,Sydney
497,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
500,Intern Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,MilsonsPoint
501,Data Analyst,80000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
502,Statistical Data Analyst,104304.5,Data Analyst,Normal,Data AnalystNormal,low,WA,SydneySuburbs
503,CRM Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
504,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Alexandria
505,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Ultimo
507,Data Analyst - Insights & Analytics,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
508,Quantitative Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
509,Junior Data Analyst/Scientist,73220.0,Data Analyst,Junior,Data AnalystJunior,low,NSW,Sydney
511,Technical Data Analyst x 2 Roles - Immediate Start with good rates,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
514,Data Analyst - Insights & Analytics,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
515,Data Analyst (2 month contract),85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
516,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
518,Customer Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,NorthSydney
520,Data Analyst & Systems Officer,85000.0,Data Analyst,Normal,Data AnalystNormal,low,WA,SydneySuburbs
521,Data Scientist - ASX50 and Fortune 500 Company,100000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
523,Data Analyst - SaaS Business,77500.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
524,Digital Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
525,Lead Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
527,Project Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
530,Data Analyst - Product & Customer,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
531,Data Analyst - Product & Customer,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
534,Data Scientist - Sydney,90000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
535,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
537,Data Scientist (Sydney),125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
538,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
539,KPI Reporting and Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,VIC,Hurst
540,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,SydneyCentralBusinessDistrict
552,Digital Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
554,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
555,Senior Data Scientist/ Machine learning engineer,140000.0,Data Scientist,Senior,Data ScientistSenior,high,NSW,Sydney
558,BioMind Data Scientist/Engineer (Relocate to Beijing),125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
562,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
563,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
564,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
565,Senior Data Analyst,125000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,Sydney
567,"Data Scientist (Digital, IoT and Robotics)",125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
568,"Senior Data Analyst, Business Insights",125000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,Sydney
569,Senior Data Analyst/Scientist,125000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,Sydney
570,Ikon | Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
572,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
576,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,SydneyCentralBusinessDistrict
577,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
579,Data Analyst - Group FP&A,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,NorthSydney
580,Data Analyst - Group FP&A,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,NorthSydney
582,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
583,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
584,Business Analyst,75000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,SydneyCentralBusinessDistrict
585,Data Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
586,Data Analyst - eCommerce,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
587,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
592,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
594,Mediacom | Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
597,Digital Data Analyst - Digital Marketing Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
598,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
599,Data Analyst Infosphere,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
600,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
609,PMO Financial Business analyst,208250.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
610,Data Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
612,Data Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
615,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
618,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
619,Enterprise PC Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Rhodes
620,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
621,Application Support & Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
623,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
624,"Data Analyst, Systems and CRM Administrator",85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
627,Senior Finance Business Analyst,156800.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
629,Data Analyst,68600.0,Data Analyst,Normal,Data AnalystNormal,low,WA,SydneySuburbs
631,Business Analyst,77500.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
632,Data Scientist/ Insights Analyst,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
637,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
638,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Parramatta
642,Senior Data Scientist,135000.0,Data Scientist,Senior,Data ScientistSenior,high,NSW,Sydney
643,Business Analyst - 6 Month Fixed Term Contract - Sydney,83790.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
644,Data Scientist,99999.5,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
650,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
654,Management/Business Analyst Consultant,120000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Caringbah
656,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,BondiJunction
658,Senior Data Scientist,135000.0,Data Scientist,Senior,Data ScientistSenior,high,NSW,Sydney
660,"Senior Master Data Analyst, Clerk Grade 7/8 - 180022",125000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,Sydney
661,Business Analyst 4-Ops,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,NorthRyde
670,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
671,Senior Data Scientist,160000.0,Data Scientist,Senior,Data ScientistSenior,high,NSW,SydneyCentralBusinessDistrict
672,Senior Business Analyst,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
675,Senior Business Analyst,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,SydneyCentralBusinessDistrict
677,Business Analyst - IT and Telecommunications,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
678,Lead Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
683,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Barangaroo
689,KPI Reporting and Data Analysts,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
690,Data Analyst - E commerce,90000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
691,Business Analyst - Capital Markets,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
692,Senior Data Scientist,135000.0,Data Scientist,Senior,Data ScientistSenior,high,NSW,Sydney
694,Data Analyst,100000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
697,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
703,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
704,Technical Business Analyst,159250.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
706,Senior Data Scientist,135000.0,Data Scientist,Senior,Data ScientistSenior,high,NSW,Sydney
710,"Master Data Analyst, Clerk Grade 5/6 - 180025",85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
718,Data Scientist/Analyst,208250.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
719,Data Analyst - Media,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
724,Data Analyst,105840.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Parramatta
725,"Data Analyst Sydney, Australia",110000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
726,Data Analyst,95000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
729,"Data Scientist Sydney, Australia",115000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
731,Data Scientist - Perm Role - Retail AI Client,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
739,Global Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,NeutralBay
748,Data Scientist/Analyst,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
751,Data Analyst / Data Visualisation - Senior Consultant,107500.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,Sydney
753,Senior Data Analyst,150000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,Sydney
756,Senior Campaign Data Analyst (Marketing Analytics) - Financial Services,140000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,Sydney
759,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,SydneyCentralBusinessDistrict
766,Technical Business Analyst - North Ryde,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,NorthRyde
767,Technical Business Analyst - North Ryde,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,NorthRyde
768,Senior Business Analyst,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,NorthShore
774,Lead Data Scientist in Sydney,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
776,Business Analyst,125000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
777,"Data Scientist, Analytics, Machine Learning - Data Scientist, Data Statistician",125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
780,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
781,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
788,Digital Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
793,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
794,Junior Business Analyst,80000.0,Business Analyst,Junior,Business AnalystJunior,low,NSW,NorthSydney
